Target_Acc.,Targeting_miRNAs,Total_Interactions,Mean_Expectation,Median_Expectation,Minimum_Expectation,Interactions_LE_1,Interactions_LE_2,Interactions_LE_3,Cleavage_Interactions,Translation_Repression_Interactions,Target_Desc.
CcGene_23100,320,324,3.95679012345679,4.0,2.0,0,1,10,311,13,
CcGene_00871,320,320,4.06875,4.0,1.5,0,2,27,286,34,
CcGene_07286,318,318,2.8529874213836477,2.0,1.0,7,183,202,291,27,
CcGene_29736,318,318,3.50314465408805,3.5,2.0,0,1,109,289,29,
CcGene_05407,316,317,4.742902208201893,5.0,2.5,0,0,8,303,14,
CcGene_10337,316,316,3.5617088607594938,3.5,1.5,0,20,33,305,11,
CcGene_26051,315,316,4.10126582278481,4.5,2.5,0,0,1,309,7,
CcGene_09111,314,314,3.7038216560509554,3.0,2.5,0,0,160,293,21,
CcGene_08573,313,313,4.60702875399361,4.5,2.0,0,1,10,306,7,
CcGene_08797,313,313,4.838658146964856,5.0,3.5,0,0,0,308,5,
CcGene_27694,311,357,4.644257703081233,5.0,3.0,0,0,2,340,17,
CcGene_09001,311,313,3.747603833865815,3.5,2.5,0,0,32,295,18,
CcGene_04703,310,313,4.0111821086261985,3.5,3.0,0,0,8,262,51,
CcGene_09081,310,311,3.87459807073955,3.5,2.5,0,0,6,300,11,
CcGene_26940,310,310,4.051612903225807,4.5,2.5,0,0,17,300,10,
CcGene_09452,309,312,4.134615384615385,4.0,3.0,0,0,6,298,14,
CcGene_05132,309,311,4.186495176848875,4.0,2.5,0,0,1,264,47,
CcGene_24048,309,309,4.349514563106796,4.0,1.5,0,3,16,307,2,
CcGene_06182,308,308,3.4853896103896105,3.5,2.5,0,0,113,298,10,
CcGene_11340,308,308,4.26948051948052,4.5,2.0,0,1,14,292,16,
CcGene_28018,307,314,3.9856687898089174,4.0,3.0,0,0,21,301,13,
CcGene_20872,305,313,4.753993610223642,5.0,2.0,0,3,8,293,20,
CcGene_17341,304,305,4.473770491803279,4.5,3.0,0,0,3,207,98,
CcGene_19980,303,305,4.832786885245902,5.0,2.5,0,0,2,293,12,
CcGene_29457,303,303,4.353135313531353,4.5,2.5,0,0,6,266,37,
CcGene_15643,302,302,3.763245033112583,3.5,2.5,0,0,9,293,9,
CcGene_16583,301,402,4.585820895522388,4.5,2.5,0,0,6,386,16,
CcGene_11060,297,299,4.237458193979933,4.0,2.5,0,0,5,285,14,
CcGene_01074,297,297,3.920875420875421,4.0,3.0,0,0,5,295,2,
CcGene_09938,296,297,1.771043771043771,1.0,0.0,216,230,236,288,9,
CcGene_09832,293,293,4.448805460750854,4.5,3.0,0,0,1,290,3,
CcGene_22745,293,293,4.5699658703071675,4.5,1.5,0,1,3,82,211,
CcGene_26907,293,293,4.728668941979522,5.0,3.5,0,0,0,290,3,
CcGene_10930,292,295,4.276271186440678,4.5,3.0,0,0,3,290,5,
CcGene_01998,292,292,2.5256849315068495,2.0,1.0,6,211,233,291,1,
CcGene_14703,290,291,4.237972508591065,4.0,2.5,0,0,4,212,79,
CcGene_17631,289,294,4.510204081632653,5.0,2.5,0,0,14,249,45,
CcGene_29183,289,289,4.391003460207613,4.5,3.0,0,0,8,44,245,
CcGene_01212,288,294,4.697278911564626,5.0,1.5,0,3,8,118,176,
CcGene_18073,287,287,3.735191637630662,4.0,1.5,0,2,104,280,7,
CcGene_16420,286,287,1.6114982578397212,1.0,0.0,216,231,237,283,4,
CcGene_05963,284,285,1.256140350877193,0.5,0.0,214,236,241,279,6,
CcGene_06353,284,285,4.866666666666666,5.0,3.0,0,0,3,281,4,
CcGene_00035,284,284,4.5,4.5,2.5,0,0,4,19,265,
CcGene_16192,284,284,2.13556338028169,1.5,0.0,127,186,190,269,15,
CcGene_01495,283,285,4.417543859649123,4.5,3.0,0,0,2,264,21,
CcGene_29825,282,282,3.99822695035461,4.0,3.0,0,0,14,282,0,
CcGene_29362,280,281,4.708185053380783,5.0,2.0,0,1,4,235,46,
CcGene_27555,280,280,4.766071428571428,5.0,2.5,0,0,1,211,69,
CcGene_19322,279,284,3.7799295774647885,3.5,3.0,0,0,91,270,14,
CcGene_14260,279,280,4.4375,4.5,2.5,0,0,10,215,65,
CcGene_01313,279,279,4.139784946236559,4.0,2.5,0,0,2,272,7,
CcGene_08677,279,279,4.304659498207886,4.5,2.5,0,0,20,277,2,
CcGene_27819,278,278,4.357913669064748,4.5,1.5,0,2,18,262,16,
CcGene_03183,277,278,3.2679856115107913,3.0,2.0,0,2,217,254,24,
CcGene_04974,276,278,4.456834532374101,4.5,2.0,0,1,3,99,179,
CcGene_28351,275,275,4.8536363636363635,5.0,3.5,0,0,0,90,185,
CcGene_24931,274,277,4.862815884476534,5.0,3.0,0,0,2,46,231,
CcGene_09684,274,274,3.9124087591240877,3.5,2.5,0,0,37,272,2,
CcGene_12042,272,273,4.13919413919414,4.0,2.5,0,0,11,241,32,
CcGene_15479,272,273,4.63919413919414,5.0,2.5,0,0,4,265,8,
CcGene_20752,272,273,4.5256410256410255,5.0,3.0,0,0,4,266,7,
CcGene_20038,272,272,1.5036764705882353,1.0,0.0,216,231,237,270,2,
CcGene_21700,272,272,3.8988970588235294,4.0,3.0,0,0,89,252,20,
CcGene_11123,271,272,4.077205882352941,4.0,2.5,0,0,7,265,7,
CcGene_22278,269,279,4.422939068100359,4.5,1.5,0,2,10,271,8,
CcGene_03546,269,273,4.344322344322344,4.5,3.0,0,0,1,265,8,
CcGene_04707,269,270,3.685185185185185,3.5,2.5,0,0,8,267,3,
CcGene_14608,269,270,3.6685185185185185,3.5,2.5,0,0,13,259,11,
CcGene_19108,269,269,4.390334572490707,4.5,3.5,0,0,0,267,2,
CcGene_00071,268,268,4.130597014925373,4.0,3.0,0,0,5,258,10,
CcGene_26922,267,268,3.216417910447761,2.5,2.0,0,1,166,240,28,
CcGene_23893,266,275,4.636363636363637,5.0,2.0,0,3,8,239,36,
CcGene_20548,266,268,4.233208955223881,4.0,2.5,0,0,3,256,12,
CcGene_21178,266,267,2.9176029962546814,2.5,0.0,11,86,168,259,8,
CcGene_10602,266,266,3.6522556390977443,3.5,2.0,0,1,12,256,10,
CcGene_09328,265,265,1.0433962264150944,0.5,0.0,214,234,238,263,2,
CcGene_23697,265,265,3.769811320754717,4.0,2.0,0,2,17,264,1,
CcGene_29018,264,264,4.901515151515151,5.0,3.5,0,0,0,263,1,
CcGene_03199,263,278,1.223021582733813,0.5,0.0,214,234,238,273,5,
CcGene_03286,263,264,4.757575757575758,5.0,3.5,0,0,0,262,2,
CcGene_11935,263,263,3.906844106463878,4.0,3.0,0,0,1,261,2,
CcGene_23383,263,263,4.068441064638783,3.5,2.5,0,0,4,217,46,
CcGene_22737,262,263,4.870722433460076,5.0,3.0,0,0,2,254,9,
CcGene_24266,262,262,4.653625954198473,5.0,1.5,0,1,2,253,9,
CcGene_21516,261,270,4.428703703703704,4.5,2.5,0,0,13,207,63,
CcGene_10223,260,275,4.553636363636364,4.5,3.0,0,0,3,137,138,
CcGene_19170,260,264,4.261363636363637,4.0,2.0,0,1,9,227,37,
CcGene_10780,260,262,4.818702290076335,5.0,3.0,0,0,2,240,22,
CcGene_11253,260,260,4.923076923076923,5.0,3.5,0,0,0,18,242,
CcGene_14923,260,260,4.5442307692307695,4.5,3.5,0,0,0,227,33,
CcGene_22050,259,299,4.448160535117057,4.5,3.5,0,0,0,293,6,
CcGene_18387,259,261,3.5938697318007664,3.5,1.5,0,8,130,240,21,
CcGene_02696,259,260,4.132692307692308,4.0,2.0,0,1,6,153,107,
CcGene_24511,258,262,4.4465648854961835,4.5,1.5,0,2,12,48,214,
CcGene_29595,258,261,4.350574712643678,4.5,2.5,0,0,9,202,59,
CcGene_00648,258,259,4.611969111969112,4.5,0.5,1,2,3,256,3,
CcGene_21402,258,259,4.54054054054054,4.5,1.0,1,1,7,210,49,
CcGene_04409,258,258,3.7112403100775193,4.0,0.0,14,14,112,257,1,
CcGene_18113,258,258,4.8934108527131785,5.0,3.5,0,0,0,37,221,
CcGene_19003,257,259,4.399613899613899,4.5,2.5,0,0,7,245,14,
CcGene_05149,257,257,2.7762645914396886,2.5,2.5,0,0,213,255,2,
CcGene_15321,257,257,3.9863813229571985,4.0,2.5,0,0,16,254,3,
CcGene_19726,257,257,4.785992217898833,5.0,3.0,0,0,18,253,4,
CcGene_29309,257,257,4.21011673151751,4.0,3.0,0,0,3,101,156,
CcGene_20132,256,258,4.521317829457364,4.5,2.5,0,0,2,245,13,
CcGene_12072,256,257,4.391050583657588,4.5,3.5,0,0,0,219,38,
CcGene_15895,255,261,4.756704980842912,5.0,2.5,0,0,1,229,32,
CcGene_11519,255,255,4.727450980392157,5.0,3.0,0,0,2,247,8,
CcGene_29504,254,255,4.6117647058823525,5.0,2.5,0,0,3,229,26,
CcGene_07389,254,254,4.324803149606299,4.5,3.5,0,0,0,245,9,
CcGene_01810,252,252,3.9523809523809526,3.5,3.0,0,0,3,246,6,
CcGene_07181,251,252,3.9890873015873014,4.0,3.0,0,0,5,246,6,
CcGene_09805,251,252,4.482142857142857,4.5,3.0,0,0,8,251,1,
CcGene_05741,251,251,4.4392430278884465,4.5,3.0,0,0,1,51,200,
CcGene_06908,251,251,4.436254980079681,4.5,3.5,0,0,0,249,2,
CcGene_24756,251,251,2.037848605577689,1.5,0.5,34,184,200,246,5,
CcGene_06384,250,250,4.084,4.0,3.0,0,0,7,40,210,
CcGene_07253,249,263,4.297528517110266,4.5,2.0,0,2,16,239,24,
CcGene_21206,249,249,4.136546184738956,4.0,2.5,0,0,5,225,24,
CcGene_23702,249,249,3.2228915662650603,3.0,1.0,1,5,142,238,11,
CcGene_30430,247,250,4.368,4.0,3.0,0,0,3,235,15,
CcGene_13721,246,251,4.649402390438247,5.0,3.0,0,0,8,109,142,
CcGene_21912,245,246,3.569105691056911,3.5,2.5,0,0,10,242,4,
CcGene_22587,245,245,4.124489795918367,4.0,2.5,0,0,2,242,3,
CcGene_30196,244,246,4.892276422764228,5.0,1.5,0,1,4,238,8,
CcGene_16091,244,245,4.2693877551020405,4.0,2.5,0,0,6,190,55,
CcGene_05148,244,244,3.137295081967213,3.0,2.0,0,5,211,244,0,
CcGene_28503,244,244,2.7131147540983607,2.5,2.5,0,0,214,241,3,
CcGene_17070,243,244,3.1413934426229506,3.0,1.5,0,1,208,239,5,
CcGene_00941,243,243,4.751028806584362,5.0,3.0,0,0,1,213,30,
CcGene_18315,243,243,4.462962962962963,4.5,3.5,0,0,0,240,3,
CcGene_07370,242,341,4.532258064516129,5.0,3.0,0,0,9,238,103,
CcGene_13634,242,245,4.059183673469388,4.0,3.0,0,0,6,231,14,
CcGene_26208,242,245,4.479591836734694,4.5,3.0,0,0,1,200,45,
CcGene_01923,242,242,4.867768595041323,5.0,3.0,0,0,1,239,3,
CcGene_27254,241,298,4.558724832214765,4.5,2.5,0,0,4,199,99,
CcGene_03234,241,241,3.5394190871369293,3.5,2.5,0,0,13,239,2,
CcGene_07688,241,241,4.894190871369295,5.0,3.0,0,0,5,235,6,
CcGene_19591,241,241,3.9315352697095434,4.0,2.5,0,0,44,230,11,
CcGene_24799,241,241,4.8879668049792535,5.0,3.0,0,0,2,231,10,
CcGene_06333,240,339,4.530973451327434,5.0,3.0,0,0,9,235,104,
CcGene_29509,240,241,3.6970954356846475,3.5,2.5,0,0,14,31,210,
CcGene_13557,240,240,4.31875,4.5,2.5,0,0,2,238,2,
CcGene_21218,240,240,4.05,4.0,3.0,0,0,5,238,2,
CcGene_22657,240,240,4.441666666666666,4.5,3.0,0,0,2,221,19,
CcGene_06505,239,241,4.476141078838174,4.5,3.0,0,0,1,88,153,
CcGene_11280,239,239,4.328451882845188,4.5,3.5,0,0,0,238,1,
CcGene_30592,239,239,3.6317991631799162,3.5,3.0,0,0,3,238,1,
CcGene_11250,238,255,4.237254901960784,4.0,2.5,0,0,2,249,6,
CcGene_01617,238,238,4.334033613445378,4.5,2.5,0,0,4,234,4,
CcGene_21448,238,238,4.418067226890757,4.5,2.5,0,0,2,215,23,
CcGene_29234,237,243,4.48559670781893,4.5,3.0,0,0,5,229,14,
CcGene_24704,237,238,4.071428571428571,4.0,3.0,0,0,1,236,2,
CcGene_04984,237,237,4.324894514767933,4.0,2.0,0,1,8,75,162,
CcGene_09584,237,237,3.9556962025316458,4.0,3.0,0,0,11,236,1,
CcGene_25212,236,242,4.580578512396694,5.0,3.0,0,0,13,213,29,
CcGene_04958,236,236,2.4110169491525424,1.0,0.0,121,124,129,186,50,
CcGene_09912,236,236,3.6165254237288136,3.5,3.0,0,0,1,10,226,
CcGene_26348,236,236,4.463983050847458,4.5,2.5,0,0,3,233,3,
CcGene_24161,235,235,1.6297872340425532,1.5,0.0,95,194,204,230,5,
CcGene_25659,235,235,4.925531914893617,5.0,3.0,0,0,2,232,3,
CcGene_26103,235,235,4.912765957446808,5.0,2.5,0,0,3,231,4,
CcGene_03796,234,234,3.608974358974359,3.5,3.0,0,0,3,228,6,
CcGene_10663,234,234,4.8418803418803416,5.0,3.0,0,0,1,228,6,
CcGene_18441,234,234,4.912393162393163,5.0,2.5,0,0,3,229,5,
CcGene_09891,233,470,3.874468085106383,4.0,2.5,0,0,90,470,0,
CcGene_05960,233,235,4.759574468085106,5.0,2.0,0,1,10,61,174,
CcGene_07793,233,233,4.46137339055794,4.5,3.5,0,0,0,231,2,
CcGene_10221,233,233,4.884120171673819,5.0,2.0,0,1,5,233,0,
CcGene_16242,233,233,4.465665236051502,4.0,3.0,0,0,1,233,0,
CcGene_22046,232,233,4.103004291845494,4.5,3.0,0,0,34,215,18,
CcGene_19497,232,232,4.480603448275862,4.5,3.5,0,0,0,232,0,
CcGene_20129,232,232,4.5280172413793105,4.5,3.0,0,0,1,228,4,
CcGene_01353,231,432,4.943287037037037,5.0,3.0,0,0,2,432,0,
CcGene_17856,231,233,4.060085836909871,4.0,2.0,0,1,15,222,11,
CcGene_04347,231,231,4.686147186147186,4.5,3.5,0,0,0,230,1,
CcGene_11490,231,231,4.7229437229437226,4.5,3.5,0,0,0,226,5,
CcGene_20736,231,231,4.922077922077922,5.0,2.0,0,1,2,230,1,
CcGene_29250,231,231,4.341991341991342,4.5,2.5,0,0,9,35,196,
CcGene_01205,230,259,4.664092664092664,4.5,4.0,0,0,0,242,17,
CcGene_28153,230,231,4.62987012987013,4.5,2.5,0,0,1,109,122,
CcGene_18898,230,230,4.930434782608696,5.0,3.0,0,0,1,227,3,
CcGene_29848,229,232,4.497844827586207,4.5,2.5,0,0,4,221,11,
CcGene_07143,229,229,4.4825327510917035,4.5,2.0,0,1,2,221,8,
CcGene_20319,229,229,4.063318777292577,4.0,3.0,0,0,7,214,15,
CcGene_03116,228,233,4.278969957081545,4.5,1.5,0,8,18,187,46,
CcGene_27536,228,230,4.8478260869565215,5.0,3.5,0,0,0,48,182,
CcGene_03451,228,228,4.918859649122807,5.0,3.0,0,0,4,19,209,
CcGene_05874,228,228,3.925438596491228,3.5,3.0,0,0,6,223,5,
CcGene_19211,228,228,4.030701754385965,4.0,3.5,0,0,0,63,165,
CcGene_29641,228,228,4.879385964912281,5.0,2.0,0,1,3,21,207,
CcGene_06886,227,231,3.7294372294372296,3.5,2.0,0,4,7,209,22,
CcGene_24045,227,229,4.377729257641922,4.5,2.5,0,0,17,220,9,
CcGene_29408,227,228,4.396929824561403,4.5,2.5,0,0,2,218,10,
CcGene_00283,227,227,3.907488986784141,3.5,3.5,0,0,0,77,150,
CcGene_09616,226,230,4.160869565217391,4.5,2.0,0,2,15,220,10,
CcGene_18838,226,229,4.213973799126638,4.5,2.5,0,0,4,223,6,
CcGene_03334,226,226,4.504424778761062,4.5,3.5,0,0,0,18,208,
CcGene_12222,226,226,4.300884955752212,4.5,3.0,0,0,2,210,16,
CcGene_29583,226,226,4.272123893805309,4.5,3.0,0,0,2,187,39,
CcGene_05852,225,232,4.0969827586206895,4.0,3.0,0,0,8,226,6,
CcGene_05744,225,225,3.8733333333333335,4.0,3.0,0,0,1,221,4,
CcGene_19312,224,241,4.365145228215767,4.5,1.5,0,1,12,220,21,
CcGene_02693,224,226,3.9668141592920354,4.0,2.0,0,1,46,178,48,
CcGene_04450,224,224,1.4955357142857142,1.5,0.0,95,194,205,221,3,
CcGene_05782,224,224,4.133928571428571,4.0,3.0,0,0,1,222,2,
CcGene_10854,224,224,4.354910714285714,4.5,3.5,0,0,0,211,13,
CcGene_12899,224,224,4.265625,4.5,2.0,0,1,1,220,4,
CcGene_17094,224,224,3.560267857142857,3.5,3.5,0,0,0,222,2,
CcGene_25072,224,224,4.4375,4.5,2.5,0,0,3,56,168,
CcGene_26650,224,224,4.986607142857143,5.0,4.0,0,0,0,222,2,
CcGene_21459,223,228,4.234649122807017,4.0,1.5,0,1,8,116,112,
CcGene_09669,223,223,4.2825112107623315,4.5,3.0,0,0,3,222,1,
CcGene_13649,223,223,4.5291479820627805,4.5,2.5,0,0,2,216,7,
CcGene_23015,223,223,4.811659192825112,5.0,2.5,0,0,1,220,3,
CcGene_02898,222,222,4.943693693693693,5.0,3.0,0,0,1,28,194,
CcGene_14379,222,222,4.225225225225225,4.5,2.5,0,0,4,216,6,
CcGene_22432,222,222,3.5495495495495497,3.5,2.5,0,0,1,219,3,
CcGene_26845,221,225,3.9955555555555557,4.0,3.0,0,0,1,221,4,
CcGene_06231,221,224,4.794642857142857,5.0,2.0,0,1,9,56,168,
CcGene_07489,221,222,3.8355855855855854,3.5,2.5,0,0,10,214,8,
CcGene_13887,221,222,4.132882882882883,4.0,3.0,0,0,5,209,13,
CcGene_15235,221,221,4.414027149321267,4.5,3.5,0,0,0,18,203,
CcGene_25327,220,221,3.6923076923076925,3.5,2.0,0,1,104,207,14,
CcGene_18542,220,220,3.618181818181818,4.0,2.5,0,0,86,217,3,
CcGene_07449,219,224,4.258928571428571,4.0,2.0,0,1,5,205,19,
CcGene_25573,219,220,3.8772727272727274,3.5,3.0,0,0,2,204,16,
CcGene_06058,219,219,4.463470319634703,4.5,3.0,0,0,3,218,1,
CcGene_23687,219,219,4.904109589041096,5.0,3.5,0,0,0,211,8,
CcGene_04178,218,384,4.501302083333333,4.5,3.5,0,0,0,375,9,
CcGene_03150,217,223,4.381165919282512,4.5,0.5,1,3,16,160,63,
CcGene_01591,217,222,4.13063063063063,4.0,1.5,0,3,21,199,23,
CcGene_04711,217,218,3.871559633027523,3.5,2.5,0,0,13,214,4,
CcGene_08583,217,218,4.506880733944954,5.0,3.0,0,0,2,63,155,
CcGene_15683,217,218,2.032110091743119,1.0,0.0,121,125,126,210,8,
CcGene_10594,217,217,4.073732718894009,4.0,3.0,0,0,3,210,7,
CcGene_11237,217,217,4.877880184331797,5.0,3.0,0,0,1,55,162,
CcGene_27380,217,217,4.503456221198157,4.5,2.5,0,0,3,211,6,
CcGene_20850,216,246,3.6971544715447155,3.5,2.5,0,0,35,214,32,
CcGene_29163,216,220,3.7795454545454548,3.5,2.5,0,0,1,214,6,
CcGene_11369,216,216,4.037037037037037,4.0,3.0,0,0,7,215,1,
CcGene_30115,216,216,4.962962962962963,5.0,3.5,0,0,0,212,4,
CcGene_20334,215,218,4.66743119266055,5.0,1.5,0,2,6,162,56,
CcGene_17713,215,217,4.910138248847926,5.0,3.0,0,0,2,208,9,
CcGene_09485,215,216,4.05787037037037,4.0,2.0,0,1,12,206,10,
CcGene_21832,215,215,4.337209302325581,4.0,1.5,0,1,3,207,8,
CcGene_22806,215,215,4.9837209302325585,5.0,3.5,0,0,0,212,3,
CcGene_12265,214,234,4.256410256410256,4.5,1.5,0,1,9,198,36,
CcGene_30540,214,219,4.504566210045662,4.5,3.0,0,0,1,210,9,
CcGene_13207,214,217,4.278801843317972,4.5,1.0,3,4,8,207,10,
CcGene_21229,214,215,4.590697674418605,4.5,3.0,0,0,1,206,9,
CcGene_20910,213,221,4.346153846153846,4.5,3.0,0,0,2,218,3,
CcGene_15371,213,216,3.6712962962962963,3.5,2.0,0,4,7,197,19,
CcGene_19094,213,213,4.438967136150235,4.5,3.5,0,0,0,212,1,
CcGene_20039,213,213,4.352112676056338,4.5,3.0,0,0,3,212,1,
CcGene_30040,213,213,3.5023474178403755,3.0,3.0,0,0,109,208,5,
CcGene_17383,212,231,4.233766233766234,4.5,1.5,0,15,25,204,27,
CcGene_25653,212,213,3.9624413145539905,4.0,3.0,0,0,32,204,9,
CcGene_02957,212,212,4.96933962264151,5.0,4.0,0,0,0,210,2,
CcGene_19191,212,212,4.910377358490566,5.0,1.5,0,2,2,24,188,
CcGene_06052,211,257,4.667315175097277,5.0,3.0,0,0,1,249,8,
CcGene_15109,211,223,4.544843049327354,4.75,2.5,0,0,6,197,26,
CcGene_18497,211,216,4.122685185185185,4.0,3.5,0,0,0,203,13,
CcGene_23427,211,214,4.469626168224299,4.5,3.0,0,0,3,201,13,
CcGene_14170,211,212,4.886792452830188,5.0,2.5,0,0,4,210,2,
CcGene_03854,211,211,4.037914691943128,4.0,3.0,0,0,4,209,2,
CcGene_22275,211,211,4.552132701421801,4.5,3.0,0,0,2,198,13,
CcGene_11894,210,213,4.47887323943662,4.5,3.0,0,0,1,206,7,
CcGene_07017,210,211,4.2559241706161135,4.5,3.0,0,0,1,203,8,
CcGene_17313,210,211,4.8649289099526065,5.0,1.5,0,1,5,208,3,
CcGene_02214,210,210,3.9952380952380953,4.0,3.0,0,0,8,208,2,
CcGene_02781,210,210,4.828571428571428,5.0,3.0,0,0,1,207,3,
CcGene_10363,210,210,4.730952380952381,4.5,3.0,0,0,2,9,201,
CcGene_13976,210,210,3.592857142857143,3.0,3.0,0,0,143,63,147,
CcGene_25719,209,222,4.324324324324325,4.5,2.0,0,1,12,173,49,
CcGene_08557,209,209,4.84688995215311,5.0,2.0,0,1,5,204,5,
CcGene_15606,208,378,4.462962962962963,4.5,2.5,0,0,2,41,337,
CcGene_00692,208,273,3.61996336996337,3.5,2.5,0,0,104,267,6,
CcGene_18147,208,209,4.466507177033493,4.5,3.0,0,0,3,201,8,
CcGene_18806,208,208,2.2548076923076925,2.0,0.5,45,137,169,191,17,
CcGene_21893,208,208,4.908653846153846,5.0,3.0,0,0,2,203,5,
CcGene_27849,208,208,2.2548076923076925,2.0,0.5,45,137,169,191,17,
CcGene_23243,207,216,4.304398148148148,4.5,1.5,0,8,23,197,19,
CcGene_05264,207,215,4.1720930232558135,4.5,2.5,0,0,18,187,28,
CcGene_09706,207,211,3.9170616113744074,4.0,1.5,0,2,74,195,16,
CcGene_00974,207,209,4.0047846889952154,4.0,3.0,0,0,3,184,25,
CcGene_06906,207,207,4.299516908212561,4.0,2.5,0,0,4,175,32,
CcGene_07551,206,760,4.979605263157895,5.0,3.0,0,0,1,47,713,
CcGene_06944,206,206,4.893203883495145,5.0,1.5,0,1,4,20,186,
CcGene_08207,206,206,4.436893203883495,4.5,2.5,0,0,2,202,4,
CcGene_12504,206,206,3.936893203883495,4.0,2.5,0,0,30,202,4,
CcGene_19947,206,206,4.060679611650485,4.0,3.5,0,0,0,193,13,
CcGene_20800,206,206,4.461165048543689,4.5,2.5,0,0,3,205,1,
CcGene_08732,205,300,4.35,4.5,3.0,0,0,4,202,98,
CcGene_00103,205,206,4.83252427184466,5.0,3.0,0,0,2,198,8,
CcGene_03252,205,205,4.790243902439024,5.0,2.5,0,0,4,202,3,
CcGene_10072,205,205,4.878048780487805,5.0,2.5,0,0,1,195,10,
CcGene_19917,204,206,3.737864077669903,3.5,2.0,0,4,7,190,16,
CcGene_24462,204,205,4.404878048780488,4.5,2.5,0,0,1,198,7,
CcGene_08575,204,204,3.980392156862745,3.75,3.0,0,0,7,180,24,
CcGene_29460,203,207,4.248792270531401,4.5,2.5,0,0,5,197,10,
CcGene_05152,203,204,2.1519607843137254,1.0,0.0,121,124,132,189,15,
CcGene_05878,203,203,3.6403940886699506,4.0,3.0,0,0,80,199,4,
CcGene_12839,203,203,4.807881773399015,5.0,4.0,0,0,0,200,3,
CcGene_19707,203,203,4.300492610837439,4.5,3.0,0,0,5,201,2,
CcGene_24367,202,203,3.706896551724138,3.5,3.0,0,0,88,188,15,
