miRNA_Acc.,Target_Genes,Total_Interactions,Mean_Expectation,Median_Expectation,Minimum_Expectation,Interactions_LE_1,Interactions_LE_2,Interactions_LE_3,Cleavage_Interactions,Translation_Repression_Interactions
ptc-miR7839,168,171,4.204678362573099,4.5,2.0,0,1,18,149,22
hme-miR-6309-3p,167,187,4.080213903743315,4.0,2.0,0,3,27,157,30
ptc-miR169b-3p,167,175,4.314285714285714,4.5,2.5,0,0,5,156,19
zma-miR172b-5p,167,173,4.0606936416184976,4.5,1.5,0,6,25,145,28
zma-miR172d-5p,167,173,4.0606936416184976,4.5,1.5,0,6,25,145,28
mtr-miR5265,167,171,4.315789473684211,4.5,2.0,0,1,8,152,19
rgl-miR5142,167,170,4.423529411764706,4.5,1.5,0,1,2,133,37
osa-miR413,166,298,4.473154362416107,4.5,3.0,0,0,6,271,27
gma-miR1514a-5p,166,180,4.319444444444445,4.5,2.5,0,0,12,144,36
gra-miR530a,166,177,4.016949152542373,4.0,2.0,0,1,35,153,24
sbi-miR5568e-5p,166,176,4.221590909090909,4.5,2.0,0,1,9,157,19
gma-miR172h-5p,166,175,4.058571428571429,4.0,1.5,0,3,29,150,25
gma-miR172i-5p,166,175,4.058571428571429,4.0,1.5,0,3,29,150,25
gma-miR172j,166,175,4.058571428571429,4.0,1.5,0,3,29,150,25
lja-miR7520,166,175,4.087142857142857,4.0,2.0,0,2,20,163,12
aau-miR396,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
aly-miR396a-5p,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
amg-miR396,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
aqc-miR396a,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
ata-miR396e-5p,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
ath-miR396a-5p,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
bcy-miR396a,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
bdi-miR396c-5p,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
bdi-miR396d-5p,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
bgy-miR396a,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
cme-miR396b,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
cpa-miR396,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
csi-miR396a,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
csi-miR396b,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
dpr-miR396,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
ghr-miR396a,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
ghr-miR396b,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
gma-miR396a-5p,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
gma-miR396i-5p,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
hbr-miR396b,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
lja-miR396,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
mdm-miR396b,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
mes-miR396a,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
mes-miR396b,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
mtr-miR396b-5p,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
nta-miR396a,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
osa-miR396a-5p,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
osa-miR396b-5p,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
ptc-miR396a,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
ptc-miR396b,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
sbi-miR396a,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
sbi-miR396b,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
sbi-miR6232b-5p,166,174,4.037356321839081,4.0,2.0,0,2,24,123,51
sly-miR396a-5p,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
sof-miR396,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
ssl-miR396,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
ssp-miR396,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
tcc-miR396a,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
tcc-miR396b,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
vvi-miR396c,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
vvi-miR396d,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
zma-miR396a-5p,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
zma-miR396b-5p,166,174,4.031609195402299,4.0,2.0,0,1,30,163,11
bdi-miR395p-3p,166,172,4.183139534883721,4.5,0.0,2,3,17,156,16
mdm-miR396a,166,172,4.023255813953488,4.0,2.0,0,1,28,161,11
aly-miR169h-3p,166,171,4.2894736842105265,4.5,2.5,0,0,6,152,19
aly-miR169j-3p,166,170,4.208823529411765,4.5,2.5,0,0,12,143,27
aly-miR169k-3p,166,170,4.208823529411765,4.5,2.5,0,0,12,143,27
aly-miR169l-3p,166,170,4.208823529411765,4.5,2.5,0,0,12,143,27
mes-miR397,166,170,4.014705882352941,4.0,1.0,2,13,24,156,14
mtr-miR2643a,166,170,4.2823529411764705,4.5,2.0,0,2,6,150,20
mtr-miR2643b-3p,166,170,4.2823529411764705,4.5,2.0,0,2,6,150,20
osa-miR2105,166,169,4.455621301775148,4.5,2.0,0,1,7,115,54
nta-miR397,166,167,4.017964071856287,4.5,0.5,8,16,27,144,23
stu-miR8051-3p,165,196,4.405612244897959,4.5,2.5,0,0,10,146,50
gra-miR8722,165,185,4.078378378378378,4.0,2.5,0,0,26,120,65
sly-miR6024,165,182,3.853021978021978,4.0,2.0,0,9,39,144,38
gma-miR1510b-3p,165,177,4.076271186440678,4.5,1.5,0,9,28,111,66
gso-miR1510a,165,177,4.076271186440678,4.5,1.5,0,9,28,111,66
gso-miR1510b,165,177,4.076271186440678,4.5,1.5,0,9,28,111,66
zma-miR159g-3p,165,177,4.045197740112994,4.0,1.5,0,1,25,148,29
bdi-miR5185a-5p,165,176,3.9332386363636362,4.0,1.5,0,2,27,138,38
bdi-miR5185b-5p,165,176,3.9332386363636362,4.0,1.5,0,2,27,138,38
bdi-miR5185c-5p,165,176,3.9332386363636362,4.0,1.5,0,2,27,138,38
bdi-miR5185d-5p,165,176,3.9332386363636362,4.0,1.5,0,2,27,138,38
bdi-miR5185e-5p,165,176,3.9332386363636362,4.0,1.5,0,2,27,138,38
bdi-miR5185f-5p,165,176,3.9332386363636362,4.0,1.5,0,2,27,138,38
bdi-miR5185g-5p,165,176,3.9332386363636362,4.0,1.5,0,2,27,138,38
bdi-miR5185h-5p,165,176,3.9332386363636362,4.0,1.5,0,2,27,138,38
bdi-miR5185i-5p,165,176,3.9332386363636362,4.0,1.5,0,2,27,138,38
bdi-miR5185j-5p,165,176,3.9332386363636362,4.0,1.5,0,2,27,138,38
bdi-miR5185k-5p,165,176,3.9332386363636362,4.0,1.5,0,2,27,138,38
nta-miR6156,165,175,3.9971428571428573,4.0,2.0,0,2,21,161,14
sly-miR5302b-3p,165,175,4.12,4.0,2.0,0,2,19,122,53
mtr-miR5254,165,173,4.289017341040463,4.5,2.0,0,1,13,141,32
osa-miR2866,165,173,4.271676300578035,4.5,2.5,0,0,11,124,49
zma-miR482-5p,165,171,4.2631578947368425,4.5,2.5,0,0,9,148,23
nta-miR6020a-5p,165,170,4.176470588235294,4.0,2.5,0,0,16,129,41
hvu-miR6180,165,168,4.446428571428571,4.5,2.0,0,1,1,143,25
mtr-miR2616,164,444,4.596846846846847,5.0,2.5,0,0,12,158,286
osa-miR5075,164,214,4.075934579439252,4.0,2.0,0,8,32,189,25
bdi-miR319a,164,184,4.005434782608695,4.0,1.5,0,3,25,174,10
zma-miR2275d-3p,164,179,4.016759776536313,4.0,1.5,0,2,32,156,23
gma-miR4993,164,175,4.118571428571428,4.5,0.5,1,3,22,147,28
ata-miR2275a-3p,164,173,3.88728323699422,4.0,0.5,1,4,35,154,19
aly-miR161-3p.1,164,172,4.625,5.0,2.5,0,0,3,152,20
bra-miR172d-5p,164,172,4.116279069767442,4.0,2.0,0,1,20,150,22
ppt-miR1052,164,172,4.223837209302325,4.0,2.5,0,0,14,161,11
aly-miR165b-5p,164,169,4.328402366863905,4.5,2.0,0,1,9,154,15
aly-miR397a-5p,164,168,3.9523809523809526,4.0,0.5,5,14,27,132,36
aly-miR397b-5p,164,168,3.9523809523809526,4.0,0.5,5,14,27,132,36
aly-miR4244,164,168,4.151785714285714,4.0,2.0,0,1,16,126,42
ath-miR397a,164,168,3.9523809523809526,4.0,0.5,5,14,27,132,36
bdi-miR397a,164,168,3.9523809523809526,4.0,0.5,5,14,27,132,36
cme-miR397,164,168,3.9523809523809526,4.0,0.5,5,14,27,132,36
csi-miR397,164,168,3.9523809523809526,4.0,0.5,5,14,27,132,36
gma-miR397a,164,168,3.9523809523809526,4.0,0.5,5,14,27,132,36
gma-miR397b-5p,164,168,3.9523809523809526,4.0,0.5,5,14,27,132,36
mtr-miR397-5p,164,168,3.9523809523809526,4.0,0.5,5,14,27,132,36
osa-miR397a,164,168,3.9523809523809526,4.0,0.5,5,14,27,132,36
ptc-miR397a,164,168,3.9523809523809526,4.0,0.5,5,14,27,132,36
rco-miR397,164,168,3.9523809523809526,4.0,0.5,5,14,27,132,36
sbi-miR397-5p,164,168,3.9523809523809526,4.0,0.5,5,14,27,132,36
ssl-miR397,164,168,3.9523809523809526,4.0,0.5,5,14,27,132,36
tcc-miR397,164,168,3.9523809523809526,4.0,0.5,5,14,27,132,36
vvi-miR397a,164,168,3.9523809523809526,4.0,0.5,5,14,27,132,36
aly-miR158a-5p,164,167,4.11377245508982,4.0,2.0,0,1,16,123,44
ath-miR158a-5p,164,167,4.11377245508982,4.0,2.0,0,1,16,123,44
osa-miR1862e,163,250,4.402,4.5,2.0,0,1,11,121,129
hme-miR-14,163,203,4.0073891625615765,4.0,1.5,0,5,33,194,9
lja-miR7531,163,179,4.148044692737431,4.0,2.0,0,1,16,172,7
lja-miR7541,163,178,4.14185393258427,4.0,2.5,0,0,23,163,15
sbi-miR6218-3p,163,176,4.340909090909091,4.5,2.5,0,0,6,143,33
ptc-miR1446a,163,174,4.19683908045977,4.5,2.0,0,1,15,144,30
ptc-miR1446b,163,174,4.19683908045977,4.5,2.0,0,1,15,144,30
ptc-miR1446c,163,174,4.19683908045977,4.5,2.0,0,1,15,144,30
ptc-miR1446d,163,174,4.19683908045977,4.5,2.0,0,1,15,144,30
ptc-miR1446e,163,174,4.19683908045977,4.5,2.0,0,1,15,144,30
aly-miR835-5p,163,173,4.086705202312139,4.0,1.5,0,3,21,121,52
osa-miR1435,163,173,4.234104046242774,4.5,2.0,0,2,8,143,30
sbi-miR1435a,163,173,4.222543352601156,4.5,2.0,0,2,9,141,32
ath-miR835-5p,163,172,4.078488372093023,4.0,1.5,0,3,21,120,52
mes-miR1446,163,172,4.193313953488372,4.5,2.0,0,1,15,143,29
mtr-miR2634,163,171,4.093567251461988,4.0,1.5,0,2,16,141,30
bdi-miR5185m-5p,163,170,4.173529411764706,4.0,1.5,0,3,18,136,34
gma-miR396h,163,170,3.9573529411764707,4.0,2.0,0,3,24,158,12
pta-miR482c,163,170,4.127941176470588,4.0,2.5,0,0,15,144,26
ata-miR5168-5p,163,168,4.252976190476191,4.5,3.0,0,0,10,144,24
bdi-miR7741-5p.1,163,168,4.163690476190476,4.0,2.0,0,1,15,132,36
bdi-miR7777-3p.2,163,167,4.31437125748503,4.5,2.5,0,0,11,124,43
gma-miR396a-3p,163,167,4.341317365269461,4.5,1.5,0,2,13,120,47
gma-miR862b,163,166,4.3147590361445785,4.5,2.0,0,1,8,143,23
hvu-miR6189,163,166,4.36144578313253,4.5,3.0,0,0,3,140,26
ssl-miR948,163,166,4.427710843373494,4.5,3.0,0,0,4,131,35
cca-miR395a,163,165,4.196969696969697,4.5,1.0,1,3,14,148,17
ath-miR5013,162,194,4.452319587628866,4.5,2.5,0,0,8,178,16
gra-miR8782,162,181,4.074585635359116,4.0,2.0,0,2,20,153,28
aly-miR396b-5p,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
aqc-miR396b,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
ata-miR396c-5p,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
ath-miR396b-5p,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
bcy-miR396b,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
bdi-miR396e-5p,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
bgy-miR396b,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
bna-miR396a,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
bra-miR396-5p,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
cca-miR396a-5p,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
ccl-miR396,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
cme-miR396a,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
cme-miR396c,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
cme-miR396d,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
gma-miR396b-5p,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
gma-miR396c,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
gma-miR396k-5p,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
mdm-miR396c,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
mdm-miR396d,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
mdm-miR396e,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
mes-miR396c,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
mes-miR396d,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
mes-miR396e,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
mes-miR396f,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
mtr-miR172c-5p,162,173,4.078034682080925,4.0,1.5,0,1,21,148,25
mtr-miR396a-5p,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
nta-miR396b,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
nta-miR396c,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
osa-miR396c-5p,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
pta-miR396,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
ptc-miR396c,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
ptc-miR396d,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
ptc-miR396e-5p,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
rco-miR396,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
sbi-miR396c,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
sly-miR396b,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
stu-miR396-5p,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
tcc-miR396c,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
tcc-miR396e,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
zma-miR396e-5p,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
zma-miR396f-5p,162,173,4.03757225433526,4.0,2.0,0,1,29,163,10
ata-miR395a-3p,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
ata-miR395c-3p,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
ata-miR395d-3p,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
ata-miR395e-3p,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
ata-miR395f-3p,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
bdi-miR395a,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
bdi-miR395b,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
bdi-miR395c-3p,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
bdi-miR395e-3p,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
bdi-miR395f-3p,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
bdi-miR395g-3p,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
bdi-miR395h-3p,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
bdi-miR395j-3p,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
bdi-miR395k-3p,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
bdi-miR395l-3p,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
bdi-miR395m,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
bdi-miR395n-3p,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
bdi-miR395o-3p,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
bdi-miR395q,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
cme-miR854,162,172,4.162790697674419,4.5,2.0,0,1,21,118,54
cpa-miR395a,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
cpa-miR395b,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
cpa-miR395c,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
cpa-miR395d,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
cpa-miR395e,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
tae-miR395b,162,172,4.223837209302325,4.5,0.5,3,3,9,156,16
ath-miR829-5p,162,171,4.184210526315789,4.0,1.0,1,2,13,140,31
bdi-miR7753-5p,162,171,3.93859649122807,4.0,1.5,0,2,27,147,24
mtr-miR5562-5p,162,171,4.309941520467836,4.5,2.5,0,0,8,149,22
gma-miR530a,162,169,4.186390532544379,4.5,1.0,2,6,16,104,65
gma-miR9742,162,169,4.109467455621302,4.0,2.0,0,1,28,135,34
ppt-miR893,162,169,4.375739644970414,4.5,1.5,0,3,8,131,38
gma-miR1535b,162,168,4.215773809523809,4.5,2.5,0,0,12,154,14
gra-miR7502f,162,168,4.107142857142857,4.0,1.5,0,2,17,140,28
osa-miR2055,162,168,4.217261904761905,4.5,2.0,0,2,17,147,21
osa-miR815a,162,167,4.139221556886228,4.0,2.5,0,0,14,155,12
osa-miR815b,162,167,4.139221556886228,4.0,2.5,0,0,14,155,12
osa-miR815c,162,167,4.139221556886228,4.0,2.5,0,0,14,155,12
gma-miR172g,162,166,4.045180722891566,4.0,2.5,0,0,21,133,33
osa-miR172d-5p,162,166,4.045180722891566,4.0,2.5,0,0,21,133,33
