Gene_ID,Category,Matched_Keyword
CcGene_07487,Abiotic_Stress_Aridity,heat shock
CcGene_07638,Abiotic_Stress_Aridity,heat shock
CcGene_07758,Abiotic_Stress_Aridity,aquaporin
CcGene_07881,Abiotic_Stress_Aridity,heat shock
CcGene_07974,Fusarium_Wilt_Pathways,acyl-coa dehydrogenase
CcGene_08475,Abiotic_Stress_Aridity,late embryogenesis abundant
CcGene_08516,Biotic_Stress_R_Genes,pathogenesis-related
CcGene_08782,Abiotic_Stress_Aridity,wrky
CcGene_08803,Abiotic_Stress_Aridity,heat shock
CcGene_09006,Abiotic_Stress_Aridity,heat shock
CcGene_09301,Abiotic_Stress_Aridity,aquaporin
CcGene_09395,Abiotic_Stress_Aridity,wrky
CcGene_09582,Abiotic_Stress_Aridity,heat shock
CcGene_10115,Biotic_Stress_R_Genes,thaumatin
CcGene_10118,Abiotic_Stress_Aridity,aquaporin
CcGene_10247,Abiotic_Stress_Aridity,late embryogenesis abundant
CcGene_10322,Biotic_Stress_R_Genes,glucanase
CcGene_10334,Biotic_Stress_R_Genes,thaumatin
CcGene_10772,Abiotic_Stress_Aridity,sodium/hydrogen exchanger
CcGene_10790,Biotic_Stress_R_Genes,thaumatin
CcGene_11355,Biotic_Stress_R_Genes,pathogenesis-related
CcGene_11621,Abiotic_Stress_Aridity,heat shock
CcGene_11635,Abiotic_Stress_Aridity,wrky
CcGene_11974,Abiotic_Stress_Aridity,heat shock
CcGene_12277,Biotic_Stress_R_Genes,chitinase
CcGene_12320,Abiotic_Stress_Aridity,bzip
CcGene_12614,Abiotic_Stress_Aridity,sodium/hydrogen exchanger
CcGene_12839,Biotic_Stress_R_Genes,glucanase
CcGene_12970,Abiotic_Stress_Aridity,heat shock
CcGene_13010,Biotic_Stress_R_Genes,pathogenesis-related
CcGene_13013,Abiotic_Stress_Aridity,nac domain
CcGene_13207,Abiotic_Stress_Aridity,heat shock
CcGene_13337,Abiotic_Stress_Aridity,bzip
CcGene_13369,Abiotic_Stress_Aridity,wrky
CcGene_13596,Abiotic_Stress_Aridity,heat shock
CcGene_14125,Abiotic_Stress_Aridity,bzip
CcGene_14490,Abiotic_Stress_Aridity,aquaporin
CcGene_14552,Abiotic_Stress_Aridity,wrky
CcGene_14829,Fusarium_Wilt_Pathways,pinene
CcGene_15009,Abiotic_Stress_Aridity,nac domain
CcGene_15440,Biotic_Stress_R_Genes,pathogenesis-related
CcGene_15487,Abiotic_Stress_Aridity,heat shock
CcGene_15582,Biotic_Stress_R_Genes,pathogenesis-related
CcGene_15923,Abiotic_Stress_Aridity,heat shock
CcGene_16590,Biotic_Stress_R_Genes,pathogenesis-related
CcGene_16993,Fusarium_Wilt_Pathways,acyl-coa dehydrogenase
CcGene_17095,Abiotic_Stress_Aridity,late embryogenesis abundant
CcGene_17590,Abiotic_Stress_Aridity,heat shock
CcGene_17721,Abiotic_Stress_Aridity,aquaporin
CcGene_18113,Abiotic_Stress_Aridity,late embryogenesis abundant
CcGene_18146,Biotic_Stress_R_Genes,glucanase
CcGene_19228,Biotic_Stress_R_Genes,pathogenesis-related
CcGene_19234,Abiotic_Stress_Aridity,aquaporin
CcGene_19403,Abiotic_Stress_Aridity,heat shock
CcGene_19420,Abiotic_Stress_Aridity,bzip
CcGene_19461,Abiotic_Stress_Aridity,sodium/hydrogen exchanger
CcGene_19477,Biotic_Stress_R_Genes,pathogenesis-related
CcGene_19478,Biotic_Stress_R_Genes,pathogenesis-related
CcGene_19498,Biotic_Stress_R_Genes,glucanase
CcGene_19591,Abiotic_Stress_Aridity,heat shock
CcGene_19753,Abiotic_Stress_Aridity,heat shock
CcGene_19897,Biotic_Stress_R_Genes,pathogenesis-related
CcGene_20159,Abiotic_Stress_Aridity,heat shock
CcGene_20933,Abiotic_Stress_Aridity,aquaporin
CcGene_20959,Abiotic_Stress_Aridity,late embryogenesis abundant
CcGene_20966,Abiotic_Stress_Aridity,late embryogenesis abundant
CcGene_20992,Abiotic_Stress_Aridity,aquaporin
CcGene_21152,Biotic_Stress_R_Genes,nb-arc
CcGene_21388,Abiotic_Stress_Aridity,nac domain
CcGene_21441,Abiotic_Stress_Aridity,heat shock
CcGene_21474,Abiotic_Stress_Aridity,heat shock
CcGene_21483,Fusarium_Wilt_Pathways,acyl-coa dehydrogenase
CcGene_21568,Abiotic_Stress_Aridity,late embryogenesis abundant
CcGene_21783,Abiotic_Stress_Aridity,wrky
CcGene_21813,Abiotic_Stress_Aridity,heat shock
CcGene_21836,Abiotic_Stress_Aridity,heat shock
CcGene_22040,Abiotic_Stress_Aridity,heat shock
CcGene_22067,Abiotic_Stress_Aridity,heat shock
CcGene_22201,Biotic_Stress_R_Genes,glucanase
CcGene_23207,Abiotic_Stress_Aridity,wrky
CcGene_23355,Abiotic_Stress_Aridity,late embryogenesis abundant
CcGene_23379,Abiotic_Stress_Aridity,wrky
CcGene_23413,Abiotic_Stress_Aridity,aquaporin
CcGene_23418,Abiotic_Stress_Aridity,heat shock
CcGene_23456,Biotic_Stress_R_Genes,chitinase
CcGene_23502,Abiotic_Stress_Aridity,late embryogenesis abundant
CcGene_23607,Abiotic_Stress_Aridity,wrky
CcGene_23906,Abiotic_Stress_Aridity,heat shock
CcGene_24309,Abiotic_Stress_Aridity,heat shock
CcGene_25132,Abiotic_Stress_Aridity,aquaporin
CcGene_25548,Biotic_Stress_R_Genes,pathogenesis-related
CcGene_25640,Biotic_Stress_R_Genes,glucanase
CcGene_26340,Biotic_Stress_R_Genes,thaumatin
CcGene_26435,Biotic_Stress_R_Genes,pathogenesis-related
CcGene_26638,Abiotic_Stress_Aridity,heat shock
CcGene_26690,Abiotic_Stress_Aridity,heat shock
CcGene_27088,Abiotic_Stress_Aridity,heat shock
CcGene_27094,Abiotic_Stress_Aridity,heat shock
CcGene_27159,Abiotic_Stress_Aridity,nac domain
CcGene_27243,Biotic_Stress_R_Genes,chitinase
CcGene_27403,Abiotic_Stress_Aridity,nac domain
CcGene_27802,Abiotic_Stress_Aridity,nac domain
CcGene_28168,Biotic_Stress_R_Genes,glucanase
CcGene_28283,Abiotic_Stress_Aridity,wrky
CcGene_28549,Abiotic_Stress_Aridity,aquaporin
CcGene_28908,Biotic_Stress_R_Genes,glucanase
CcGene_28939,Biotic_Stress_R_Genes,glucanase
CcGene_29006,Abiotic_Stress_Aridity,heat shock
CcGene_29008,Abiotic_Stress_Aridity,heat shock
CcGene_29167,Abiotic_Stress_Aridity,aquaporin
CcGene_29371,Abiotic_Stress_Aridity,heat shock
CcGene_30007,Abiotic_Stress_Aridity,heat shock
CcGene_30050,Biotic_Stress_R_Genes,thaumatin
CcGene_30297,Abiotic_Stress_Aridity,late embryogenesis abundant
CcGene_30298,Abiotic_Stress_Aridity,late embryogenesis abundant
CcGene_30524,Abiotic_Stress_Aridity,nac domain
CcGene_30802,Abiotic_Stress_Aridity,wrky
CcGene_30824,Abiotic_Stress_Aridity,wrky
CcGene_30831,Biotic_Stress_R_Genes,pathogenesis-related
CcGene_30886,Abiotic_Stress_Aridity,heat shock
CcGene_31027,Fusarium_Wilt_Pathways,acyl-coa dehydrogenase
CcGene_31070,Abiotic_Stress_Aridity,heat shock
CcGene_31945,Abiotic_Stress_Aridity,heat shock
CcGene_32096,Abiotic_Stress_Aridity,wrky
CcGene_32337,Abiotic_Stress_Aridity,heat shock
CcGene_33042,Abiotic_Stress_Aridity,heat shock
CcGene_33083,Abiotic_Stress_Aridity,wrky
CcGene_33195,Biotic_Stress_R_Genes,pathogenesis-related
CcGene_33374,Abiotic_Stress_Aridity,aquaporin
CcGene_33453,Abiotic_Stress_Aridity,heat shock
CcGene_33512,Abiotic_Stress_Aridity,late embryogenesis abundant
CcGene_33552,Abiotic_Stress_Aridity,sodium/hydrogen exchanger
