# BUSCO version is: 6.0.0 
# The lineage dataset is: embryophyta_odb10 (Creation date: 2024-01-08, number of genomes: 50, number of BUSCOs: 1614)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
1521at3193	Complete	CcGene_30718	1455.0	987	https://v10-1.orthodb.org/?query=1521at3193	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1578at3193	Complete	CcGene_21510	1529.6	948	https://v10-1.orthodb.org/?query=1578at3193	Mon2, C-terminal
1589at3193	Complete	CcGene_29162	2125.1	1314	https://v10-1.orthodb.org/?query=1589at3193	Armadillo-type fold
1664at3193	Complete	CcGene_01803	2851.3	1588	https://v10-1.orthodb.org/?query=1664at3193	Translocation and assembly module TamB
1816at3193	Complete	CcGene_27860	2196.4	1504	https://v10-1.orthodb.org/?query=1816at3193	Armadillo-type fold
1822at3193	Complete	CcGene_08797	1178.2	867	https://v10-1.orthodb.org/?query=1822at3193	SET domain
1914at3193	Fragmented	CcGene_12993	1134.3	594	https://v10-1.orthodb.org/?query=1914at3193	ATPase, AAA-type, conserved site
1916at3193	Complete	CcGene_16562	1769.1	1013	https://v10-1.orthodb.org/?query=1916at3193	DNA polymerase
1998at3193	Complete	CcGene_02793	1264.1	909	https://v10-1.orthodb.org/?query=1998at3193	Nuclear pore complex protein NUP160
2028at3193	Missing
2050at3193	Complete	CcGene_02036	1542.7	1216	https://v10-1.orthodb.org/?query=2050at3193	Autophagy-related, C-terminal
2203at3193	Complete	CcGene_10308	1996.0	1254	https://v10-1.orthodb.org/?query=2203at3193	WD40 repeat
2325at3193	Missing
2329at3193	Complete	CcGene_11874	2456.0	1196	https://v10-1.orthodb.org/?query=2329at3193	magnesium-chelatase subunit ChlH, chloroplastic
2653at3193	Complete	CcGene_14656	2135.9	1203	https://v10-1.orthodb.org/?query=2653at3193	WD40-repeat-containing domain
2661at3193	Duplicated	CcGene_08830	787.1	1086	https://v10-1.orthodb.org/?query=2661at3193	ABC transporter type 1, transmembrane domain
2661at3193	Duplicated	CcGene_25701	830.5	1056	https://v10-1.orthodb.org/?query=2661at3193	ABC transporter type 1, transmembrane domain
2661at3193	Duplicated	CcGene_32106	825.5	1053	https://v10-1.orthodb.org/?query=2661at3193	ABC transporter type 1, transmembrane domain
2661at3193	Duplicated	CcGene_11387	830.7	1050	https://v10-1.orthodb.org/?query=2661at3193	ABC transporter type 1, transmembrane domain
2661at3193	Duplicated	CcGene_21611	780.5	1050	https://v10-1.orthodb.org/?query=2661at3193	ABC transporter type 1, transmembrane domain
2661at3193	Duplicated	CcGene_02022	893.5	1049	https://v10-1.orthodb.org/?query=2661at3193	ABC transporter type 1, transmembrane domain
2661at3193	Duplicated	CcGene_12996	810.8	1037	https://v10-1.orthodb.org/?query=2661at3193	ABC transporter type 1, transmembrane domain
2661at3193	Duplicated	CcGene_09537	759.6	1011	https://v10-1.orthodb.org/?query=2661at3193	ABC transporter type 1, transmembrane domain
2694at3193	Fragmented	CcGene_07765	1133.2	558	https://v10-1.orthodb.org/?query=2694at3193	Cytoplasmic FMR1-interacting
2770at3193	Complete	CcGene_32274	1511.2	1017	https://v10-1.orthodb.org/?query=2770at3193	Nucleoporin, Nup133/Nup155-like, C-terminal
2834at3193	Complete	CcGene_15252	1544.4	1124	https://v10-1.orthodb.org/?query=2834at3193	DNA2/NAM7 helicase, AAA domain
2844at3193	Complete	CcGene_08554	1488.2	949	https://v10-1.orthodb.org/?query=2844at3193	Cleavage/polyadenylation specificity factor, A subunit, C-terminal
2884at3193	Complete	CcGene_15279	1154.8	805	https://v10-1.orthodb.org/?query=2884at3193	Tetratricopeptide repeat
2921at3193	Complete	CcGene_20747	1966.3	1178	https://v10-1.orthodb.org/?query=2921at3193	Pentatricopeptide repeat
2926at3193	Complete	CcGene_07623	1816.4	1034	https://v10-1.orthodb.org/?query=2926at3193	TRAPP II complex, TRAPPC10
3052at3193	Complete	CcGene_29036	1251.4	834	https://v10-1.orthodb.org/?query=3052at3193	SNF2-related, N-terminal domain
3082at3193	Complete	CcGene_22614	1146.5	863	https://v10-1.orthodb.org/?query=3082at3193	Tetratricopeptide-like helical
3272at3193	Complete	CcGene_21887	1669.9	953	https://v10-1.orthodb.org/?query=3272at3193	DNA ligase
3288at3193	Missing
3322at3193	Complete	CcGene_27817	1884.7	1212	https://v10-1.orthodb.org/?query=3322at3193	Sister chromatid cohesion protein
3441at3193	Missing
3493at3193	Complete	CcGene_15640	2431.5	1543	https://v10-1.orthodb.org/?query=3493at3193	S1 domain
3595at3193	Missing
3662at3193	Complete	CcGene_26332	1543.5	1031	https://v10-1.orthodb.org/?query=3662at3193	Elongator complex protein 1
3704at3193	Complete	CcGene_20239	2017.4	1073	https://v10-1.orthodb.org/?query=3704at3193	Four-carbon acid sugar kinase, N-terminal domain
3755at3193	Complete	CcGene_02213	1490.1	895	https://v10-1.orthodb.org/?query=3755at3193	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
3935at3193	Duplicated	CcGene_17053	1993.5	1013	https://v10-1.orthodb.org/?query=3935at3193	P-type ATPase
3935at3193	Duplicated	CcGene_32413	1986.2	1013	https://v10-1.orthodb.org/?query=3935at3193	P-type ATPase
3941at3193	Complete	CcGene_25394	1304.8	861	https://v10-1.orthodb.org/?query=3941at3193	TRAPP II complex, Trs120
3942at3193	Missing
3971at3193	Missing
4051at3193	Complete	CcGene_25391	1598.5	889	https://v10-1.orthodb.org/?query=4051at3193	Glycoside hydrolase, family 2
4115at3193	Complete	CcGene_09594	1674.4	946	https://v10-1.orthodb.org/?query=4115at3193	Quinoprotein amine dehydrogenase, beta chain-like RIC1-like guanyl-nucleotide exchange factor
4251at3193	Complete	CcGene_01965	1678.9	1065	https://v10-1.orthodb.org/?query=4251at3193	Sec7 domain
4343at3193	Complete	CcGene_11151	1664.6	998	https://v10-1.orthodb.org/?query=4343at3193	Tubulin-folding cofactor D
4349at3193	Complete	CcGene_21239	1830.6	927	https://v10-1.orthodb.org/?query=4349at3193	Peptidase M16, C-terminal
4482at3193	Complete	CcGene_21846	1683.9	1193	https://v10-1.orthodb.org/?query=4482at3193	WD40-repeat-containing domain
4483at3193	Duplicated	CcGene_33353	1926.7	954	https://v10-1.orthodb.org/?query=4483at3193	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain
4483at3193	Duplicated	CcGene_10163	1924.6	954	https://v10-1.orthodb.org/?query=4483at3193	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain
4547at3193	Complete	CcGene_26333	1841.0	1653	https://v10-1.orthodb.org/?query=4547at3193	Putative zinc-finger domain
4582at3193	Complete	CcGene_29439	1653.1	911	https://v10-1.orthodb.org/?query=4582at3193	SH3 domain
4678at3193	Complete	CcGene_01951	1749.0	984	https://v10-1.orthodb.org/?query=4678at3193	WD40 repeat
4777at3193	Complete	CcGene_17919	1414.8	928	https://v10-1.orthodb.org/?query=4777at3193	Trafficking protein particle complex subunit 11
4892at3193	Complete	CcGene_16717	1479.6	913	https://v10-1.orthodb.org/?query=4892at3193	HECT domain
5135at3193	Missing
5232at3193	Complete	CcGene_11662	1729.5	1016	https://v10-1.orthodb.org/?query=5232at3193	SNF2-related, N-terminal domain
5261at3193	Complete	CcGene_06793	1113.0	758	https://v10-1.orthodb.org/?query=5261at3193	Polymerase, nucleotidyl transferase domain
5306at3193	Complete	CcGene_15839	1072.1	748	https://v10-1.orthodb.org/?query=5306at3193	Tetratricopeptide repeat
5602at3193	Complete	CcGene_13899	1245.0	979	https://v10-1.orthodb.org/?query=5602at3193	Armadillo-type fold
5603at3193	Complete	CcGene_09980	1475.8	864	https://v10-1.orthodb.org/?query=5603at3193	SNF2-related, N-terminal domain
5727at3193	Complete	CcGene_16085	1471.8	849	https://v10-1.orthodb.org/?query=5727at3193	PPM-type phosphatase domain
5761at3193	Complete	CcGene_27086	1030.8	801	https://v10-1.orthodb.org/?query=5761at3193	Nrap protein domain 1
5793at3193	Complete	CcGene_23056	1619.4	1220	https://v10-1.orthodb.org/?query=5793at3193	tRNA/rRNA methyltransferase, SpoU type
5796at3193	Duplicated	CcGene_02107	1729.2	900	https://v10-1.orthodb.org/?query=5796at3193	MIF4G-like domain superfamily
5796at3193	Duplicated	CcGene_08050	1618.6	860	https://v10-1.orthodb.org/?query=5796at3193	MIF4G-like domain superfamily
5849at3193	Complete	CcGene_17806	1207.2	826	https://v10-1.orthodb.org/?query=5849at3193	Armadillo-type fold
5868at3193	Complete	CcGene_01421	1067.2	882	https://v10-1.orthodb.org/?query=5868at3193	RNA polymerase II-associated protein 1, C-terminal
5921at3193	Fragmented	CcGene_08512	982.9	568	https://v10-1.orthodb.org/?query=5921at3193	DNA mismatch repair protein MutS, C-terminal
6095at3193	Missing
6114at3193	Complete	CcGene_23238	1398.9	839	https://v10-1.orthodb.org/?query=6114at3193	ATP-dependent RNA helicase Ski2, C-terminal
6319at3193	Complete	CcGene_21615	1249.4	684	https://v10-1.orthodb.org/?query=6319at3193	Glycine-tRNA ligase, alpha subunit
6412at3193	Complete	CcGene_01383	1464.8	958	https://v10-1.orthodb.org/?query=6412at3193	DNA mismatch repair protein MutS, core
6430at3193	Complete	CcGene_21865	987.4	700	https://v10-1.orthodb.org/?query=6430at3193	Timeless protein
6485at3193	Complete	CcGene_12503	1596.0	981	https://v10-1.orthodb.org/?query=6485at3193	Carbohydrate-binding-like fold
6707at3193	Missing
6756at3193	Complete	CcGene_09810	1204.7	645	https://v10-1.orthodb.org/?query=6756at3193	NHL repeat
7170at3193	Complete	CcGene_23717	1460.3	832	https://v10-1.orthodb.org/?query=7170at3193	Tetratricopeptide repeat
7277at3193	Complete	CcGene_03812	1277.2	778	https://v10-1.orthodb.org/?query=7277at3193	Zinc finger, CCHC-type
7476at3193	Complete	CcGene_12024	980.9	698	https://v10-1.orthodb.org/?query=7476at3193	Exportin-1, C-terminal
7510at3193	Complete	CcGene_31516	1148.5	653	https://v10-1.orthodb.org/?query=7510at3193	Nuclear pore protein 84/107
7511at3193	Complete	CcGene_15588	1195.6	739	https://v10-1.orthodb.org/?query=7511at3193	F-box domain
7542at3193	Fragmented	CcGene_25684	1209.9	772	https://v10-1.orthodb.org/?query=7542at3193	Protein kinase domain
7552at3193	Complete	CcGene_10571	1748.0	850	https://v10-1.orthodb.org/?query=7552at3193	Translation elongation factor EFG/EF2, domain IV
7852at3193	Duplicated	CcGene_14550	1418.8	781	https://v10-1.orthodb.org/?query=7852at3193	WD40/YVTN repeat-like-containing domain superfamily
7852at3193	Duplicated	CcGene_09369	1397.7	781	https://v10-1.orthodb.org/?query=7852at3193	WD40/YVTN repeat-like-containing domain superfamily
7936at3193	Complete	CcGene_29476	1184.2	719	https://v10-1.orthodb.org/?query=7936at3193	Armadillo-type fold
7942at3193	Complete	CcGene_02895	1599.8	852	https://v10-1.orthodb.org/?query=7942at3193	Aminoacyl-tRNA synthetase, class Ia
7975at3193	Complete	CcGene_18989	1402.4	861	https://v10-1.orthodb.org/?query=7975at3193	Exportin-1/Importin-beta-like
8030at3193	Complete	CcGene_26252	1335.8	730	https://v10-1.orthodb.org/?query=8030at3193	Glycoside hydrolase, family 77
8229at3193	Complete	CcGene_10110	1075.2	767	https://v10-1.orthodb.org/?query=8229at3193	Peroxisome biogenesis factor 1
8339at3193	Duplicated	CcGene_09138	706.0	794	https://v10-1.orthodb.org/?query=8339at3193	Aminoacyl-tRNA synthetase, class Ia
8339at3193	Duplicated	CcGene_05267	706.9	793	https://v10-1.orthodb.org/?query=8339at3193	Aminoacyl-tRNA synthetase, class Ia
8341at3193	Missing
8477at3193	Complete	CcGene_12020	291.7	747	https://v10-1.orthodb.org/?query=8477at3193	WD40 repeat
8566at3193	Complete	CcGene_19750	1412.7	978	https://v10-1.orthodb.org/?query=8566at3193	CAAX prenyl protease 2
8731at3193	Fragmented	CcGene_29159	491.8	342	https://v10-1.orthodb.org/?query=8731at3193	Zinc finger, RING-type
8828at3193	Complete	CcGene_13754	1513.7	825	https://v10-1.orthodb.org/?query=8828at3193	Cation-transporting P-type ATPase, C-terminal
8939at3193	Complete	CcGene_31314	1482.2	861	https://v10-1.orthodb.org/?query=8939at3193	GHMP kinase, C-terminal domain
8953at3193	Complete	CcGene_12344	1112.5	673	https://v10-1.orthodb.org/?query=8953at3193	XPG/Rad2 endonuclease
9250at3193	Fragmented	CcGene_10827	678.1	317	https://v10-1.orthodb.org/?query=9250at3193	Gamma-tubulin complex component
9385at3193	Fragmented	CcGene_04389	905.9	609	https://v10-1.orthodb.org/?query=9385at3193	Rad50/SbcC-type AAA domain
9443at3193	Complete	CcGene_23234	1980.5	1042	https://v10-1.orthodb.org/?query=9443at3193	TATA-binding protein interacting (TIP20)
9466at3193	Complete	CcGene_18852	931.3	679	https://v10-1.orthodb.org/?query=9466at3193	Importin-beta, N-terminal domain
9508at3193	Complete	CcGene_08444	1129.0	816	https://v10-1.orthodb.org/?query=9508at3193	Condensin complex subunit 1, C-terminal
9727at3193	Complete	CcGene_18608	1230.4	812	https://v10-1.orthodb.org/?query=9727at3193	Structural maintenance of chromosomes protein 5
9734at3193	Complete	CcGene_10187	799.6	703	https://v10-1.orthodb.org/?query=9734at3193	MMS19, C-terminal
9962at3193	Complete	CcGene_10915	990.2	755	https://v10-1.orthodb.org/?query=9962at3193	Helicase, C-terminal
10289at3193	Complete	CcGene_14186	1293.3	806	https://v10-1.orthodb.org/?query=10289at3193	DNA mismatch repair protein MutS, core
10307at3193	Complete	CcGene_33560	973.2	610	https://v10-1.orthodb.org/?query=10307at3193	tRNA wybutosine-synthesizing protein
10341at3193	Fragmented	CcGene_03007	689.0	449	https://v10-1.orthodb.org/?query=10341at3193	Abnormal spindle-like microcephaly-associated protein
10362at3193	Missing
10429at3193	Complete	CcGene_24667	1469.1	801	https://v10-1.orthodb.org/?query=10429at3193	DNA mismatch repair protein MutS, core
10454at3193	Missing
10535at3193	Missing
10651at3193	Complete	CcGene_19648	1539.7	824	https://v10-1.orthodb.org/?query=10651at3193	Pep3/Vps18/deep orange
10797at3193	Complete	CcGene_01771	725.8	660	https://v10-1.orthodb.org/?query=10797at3193	Alpha-1,6-glucosidases, pullulanase-type
10850at3193	Missing
10856at3193	Complete	CcGene_03394	472.9	508	https://v10-1.orthodb.org/?query=10856at3193	1,4-alpha-glucan-branching enzyme
11121at3193	Complete	CcGene_19844	1406.8	753	https://v10-1.orthodb.org/?query=11121at3193	WD40 repeat
11361at3193	Complete	CcGene_10299	960.3	723	https://v10-1.orthodb.org/?query=11361at3193	N-acetyltransferase B complex, non-catalytic subunit
11471at3193	Missing
11532at3193	Missing
11560at3193	Complete	CcGene_30790	1289.7	831	https://v10-1.orthodb.org/?query=11560at3193	Kinesin motor domain
11585at3193	Duplicated	CcGene_19633	907.2	748	https://v10-1.orthodb.org/?query=11585at3193	C2 domain
11585at3193	Duplicated	CcGene_17512	870.2	747	https://v10-1.orthodb.org/?query=11585at3193	C2 domain
11903at3193	Fragmented	CcGene_27133	805.9	590	https://v10-1.orthodb.org/?query=11903at3193	Pyrrolo-quinoline quinone-like domain
12298at3193	Complete	CcGene_19324	1366.1	754	https://v10-1.orthodb.org/?query=12298at3193	WD40 repeat
12299at3193	Complete	CcGene_20906	1362.9	801	https://v10-1.orthodb.org/?query=12299at3193	Pentatricopeptide repeat
12350at3193	Complete	CcGene_11284	1469.2	735	https://v10-1.orthodb.org/?query=12350at3193	Alpha-1,4 glucan phosphorylase
12643at3193	Complete	CcGene_10290	1273.3	727	https://v10-1.orthodb.org/?query=12643at3193	D-alanine--D-alanine ligase, C-terminal
12744at3193	Complete	CcGene_12766	843.0	748	https://v10-1.orthodb.org/?query=12744at3193	BTB/POZ domain
12893at3193	Complete	CcGene_24484	1331.2	707	https://v10-1.orthodb.org/?query=12893at3193	Aminoacyl-tRNA synthetase, class Ia
12903at3193	Complete	CcGene_31569	1498.1	833	https://v10-1.orthodb.org/?query=12903at3193	Ubiquitin conjugation factor E4, core
12990at3193	Complete	CcGene_33191	1368.3	888	https://v10-1.orthodb.org/?query=12990at3193	Pentatricopeptide repeat
13044at3193	Complete	CcGene_28221	1173.2	686	https://v10-1.orthodb.org/?query=13044at3193	Chorismate-utilising enzyme, C-terminal
13120at3193	Complete	CcGene_11497	1452.1	746	https://v10-1.orthodb.org/?query=13120at3193	DNA replication licensing factor Mcm2
13163at3193	Complete	CcGene_07858	878.1	550	https://v10-1.orthodb.org/?query=13163at3193	WD40 repeat
13313at3193	Missing
13359at3193	Complete	CcGene_00030	1013.3	661	https://v10-1.orthodb.org/?query=13359at3193	Zinc finger, NF-X1-type
13414at3193	Complete	CcGene_18629	991.8	588	https://v10-1.orthodb.org/?query=13414at3193	UvrD-like DNA helicase, C-terminal
13438at3193	Complete	CcGene_18292	794.6	553	https://v10-1.orthodb.org/?query=13438at3193	Zinc finger, RanBP2-type
13495at3193	Complete	CcGene_02825	1313.7	730	https://v10-1.orthodb.org/?query=13495at3193	Conserved oligomeric Golgi complex subunit 7
13740at3193	Missing
13964at3193	Missing
13979at3193	Complete	CcGene_15556	1194.3	733	https://v10-1.orthodb.org/?query=13979at3193	Transmembrane protein
13985at3193	Complete	CcGene_08814	1391.2	748	https://v10-1.orthodb.org/?query=13985at3193	Glycoside hydrolase family 31
14027at3193	Complete	CcGene_12115	728.7	536	https://v10-1.orthodb.org/?query=14027at3193	Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 1
14087at3193	Complete	CcGene_30389	1234.3	650	https://v10-1.orthodb.org/?query=14087at3193	Exoribonuclease, phosphorolytic domain 1
14127at3193	Missing
14136at3193	Duplicated	CcGene_03904	1474.1	799	https://v10-1.orthodb.org/?query=14136at3193	Probable alanine--tRNA ligase, chloroplastic
14136at3193	Duplicated	CcGene_32822	1379.7	767	https://v10-1.orthodb.org/?query=14136at3193	Probable alanine--tRNA ligase, chloroplastic
14163at3193	Complete	CcGene_32147	1127.2	760	https://v10-1.orthodb.org/?query=14163at3193	Smg8/Smg9
14585at3193	Fragmented	CcGene_24149	792.5	536	https://v10-1.orthodb.org/?query=14585at3193	WD40 repeat
15047at3193	Missing
15187at3193	Complete	CcGene_30680	1194.7	681	https://v10-1.orthodb.org/?query=15187at3193	Urease
15195at3193	Complete	CcGene_06050	1324.3	748	https://v10-1.orthodb.org/?query=15195at3193	WD40 repeat
15224at3193	Missing
15229at3193	Missing
15289at3193	Complete	CcGene_21221	1147.3	678	https://v10-1.orthodb.org/?query=15289at3193	Phosphoribulokinase/uridine kinase
15318at3193	Complete	CcGene_29500	941.3	617	https://v10-1.orthodb.org/?query=15318at3193	Sec1-like protein
15405at3193	Fragmented	CcGene_03832	415.7	233	https://v10-1.orthodb.org/?query=15405at3193	DNA mismatch repair protein MutS, core
15419at3193	Complete	CcGene_19541	1040.4	572	https://v10-1.orthodb.org/?query=15419at3193	EGF-like, conserved site
15522at3193	Complete	CcGene_19020	1133.5	662	https://v10-1.orthodb.org/?query=15522at3193	MIF4G-like, type 1
15843at3193	Complete	CcGene_00075	930.8	645	https://v10-1.orthodb.org/?query=15843at3193	BRCT domain
15862at3193	Missing
15951at3193	Fragmented	CcGene_01024	1020.9	581	https://v10-1.orthodb.org/?query=15951at3193	No exine formation 1
16160at3193	Complete	CcGene_21601	970.4	640	https://v10-1.orthodb.org/?query=16160at3193	DDT domain
16216at3193	Complete	CcGene_19195	1302.6	695	https://v10-1.orthodb.org/?query=16216at3193	Pentatricopeptide repeat
16253at3193	Complete	CcGene_04061	1130.5	714	https://v10-1.orthodb.org/?query=16253at3193	DNA ligase
16286at3193	Complete	CcGene_29938	682.4	570	https://v10-1.orthodb.org/?query=16286at3193	BRCT domain
16351at3193	Complete	CcGene_00142	719.3	524	https://v10-1.orthodb.org/?query=16351at3193	SET domain
16550at3193	Complete	CcGene_09163	1230.0	730	https://v10-1.orthodb.org/?query=16550at3193	ATPase, AAA-type, conserved site
16671at3193	Complete	CcGene_29990	1185.1	657	https://v10-1.orthodb.org/?query=16671at3193	WD40 repeat
16810at3193	Complete	CcGene_19625	1214.7	696	https://v10-1.orthodb.org/?query=16810at3193	Vps16, C-terminal
16901at3193	Complete	CcGene_01134	1725.6	980	https://v10-1.orthodb.org/?query=16901at3193	ATP-dependent RNA helicase Ski2, C-terminal
16977at3193	Complete	CcGene_29245	778.4	440	https://v10-1.orthodb.org/?query=16977at3193	JmjN domain
16984at3193	Complete	CcGene_12393	1190.3	649	https://v10-1.orthodb.org/?query=16984at3193	Six-hairpin glycosidase-like superfamily
17077at3193	Fragmented	CcGene_22551	728.6	399	https://v10-1.orthodb.org/?query=17077at3193	Fanconi-associated nuclease
17159at3193	Complete	CcGene_30222	1129.1	744	https://v10-1.orthodb.org/?query=17159at3193	Pentatricopeptide repeat
17217at3193	Complete	CcGene_12918	1187.9	701	https://v10-1.orthodb.org/?query=17217at3193	Tubulin--tyrosine ligase-like protein 12
17535at3193	Missing
17581at3193	Fragmented	CcGene_31782	627.1	319	https://v10-1.orthodb.org/?query=17581at3193	E3 UFM1-protein ligase 1
17627at3193	Complete	CcGene_32963	1405.3	747	https://v10-1.orthodb.org/?query=17627at3193	Exoribonuclease, phosphorolytic domain 1
17647at3193	Complete	CcGene_09025	954.7	800	https://v10-1.orthodb.org/?query=17647at3193	Protein of unknown function DUF4487
17679at3193	Missing
18005at3193	Complete	CcGene_08908	1383.8	881	https://v10-1.orthodb.org/?query=18005at3193	STAG
18144at3193	Complete	CcGene_33413	1054.5	663	https://v10-1.orthodb.org/?query=18144at3193	RNA-binding, CRM domain
18146at3193	Complete	CcGene_00819	945.2	584	https://v10-1.orthodb.org/?query=18146at3193	ATPase, AAA-type, conserved site
18255at3193	Fragmented	CcGene_16183	642.0	405	https://v10-1.orthodb.org/?query=18255at3193	WD40 repeat
18305at3193	Complete	CcGene_04235	1305.0	671	https://v10-1.orthodb.org/?query=18305at3193	MCM domain
18334at3193	Complete	CcGene_10542	914.2	691	https://v10-1.orthodb.org/?query=18334at3193	Meiosis specific protein Spo22/ZIP4/TEX11
18435at3193	Complete	CcGene_02583	1132.7	627	https://v10-1.orthodb.org/?query=18435at3193	CarD-like/TRCF domain
18590at3193	Complete	CcGene_32704	1142.0	674	https://v10-1.orthodb.org/?query=18590at3193	Pentatricopeptide repeat
18595at3193	Complete	CcGene_02038	1103.4	808	https://v10-1.orthodb.org/?query=18595at3193	Condensin complex subunit 3
18614at3193	Complete	CcGene_18640	2398.7	1383	https://v10-1.orthodb.org/?query=18614at3193	SNF2-related, N-terminal domain
18641at3193	Duplicated	CcGene_04624	1252.2	667	https://v10-1.orthodb.org/?query=18641at3193	MCM domain
18641at3193	Duplicated	CcGene_16348	1252.2	667	https://v10-1.orthodb.org/?query=18641at3193	MCM domain
18777at3193	Complete	CcGene_02539	1076.3	687	https://v10-1.orthodb.org/?query=18777at3193	Anaphase-promoting complex subunit 5
18890at3193	Duplicated	CcGene_03541	1007.6	685	https://v10-1.orthodb.org/?query=18890at3193	Leucine-rich repeat
18890at3193	Duplicated	CcGene_14183	1007.6	685	https://v10-1.orthodb.org/?query=18890at3193	Leucine-rich repeat
18970at3193	Missing
19019at3193	Complete	CcGene_01330	880.2	576	https://v10-1.orthodb.org/?query=19019at3193	CCAAT-binding factor
19068at3193	Complete	CcGene_16150	1103.1	609	https://v10-1.orthodb.org/?query=19068at3193	UbiB domain
19243at3193	Complete	CcGene_28701	738.6	530	https://v10-1.orthodb.org/?query=19243at3193	UbiB domain
19287at3193	Duplicated	CcGene_29963	1286.4	624	https://v10-1.orthodb.org/?query=19287at3193	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type
19287at3193	Duplicated	CcGene_03179	1286.2	624	https://v10-1.orthodb.org/?query=19287at3193	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type
19370at3193	Complete	CcGene_13073	915.7	615	https://v10-1.orthodb.org/?query=19370at3193	Pentatricopeptide repeat
19402at3193	Complete	CcGene_08523	950.0	705	https://v10-1.orthodb.org/?query=19402at3193	Leucine-rich repeat
19439at3193	Duplicated	CcGene_22417	1050.6	727	https://v10-1.orthodb.org/?query=19439at3193	Formin-like protein
19439at3193	Duplicated	CcGene_20245	931.8	724	https://v10-1.orthodb.org/?query=19439at3193	Formin-like protein
19439at3193	Duplicated	CcGene_20408	1024.8	708	https://v10-1.orthodb.org/?query=19439at3193	Formin-like protein
19475at3193	Complete	CcGene_17560	876.8	524	https://v10-1.orthodb.org/?query=19475at3193	BTB/POZ domain
19641at3193	Fragmented	CcGene_17055	646.2	472	https://v10-1.orthodb.org/?query=19641at3193	Alkaline phosphatase-like, alpha/beta/alpha
19696at3193	Missing
19846at3193	Missing
19854at3193	Complete	CcGene_04077	1249.0	617	https://v10-1.orthodb.org/?query=19854at3193	DNA replication licensing factor MCM7
19858at3193	Complete	CcGene_08771	961.6	595	https://v10-1.orthodb.org/?query=19858at3193	MCM domain
20132at3193	Complete	CcGene_02457	978.2	532	https://v10-1.orthodb.org/?query=20132at3193	Replication factor C subunit 1
