Gene_ID	Metabolite_Category	Description	SwissProt_Hit	NR_Hit	GOs	KEGG_Pathway
CcGene_01150	Glycosyltransferase	Belongs to the glycosyltransferase 31 family	sp|A8MRC7|B3GT2_ARATH	XP_074380277.1	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0012505,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	-
CcGene_01325	Cytochrome P450	Cytochrome p450	sp|O81973|C93A3_SOYBN	XP_017240613.1	GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0008150,GO:0008152,GO:0009058,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0044550,GO:0055114	ko00140,ko00380,ko00830,ko00943,ko00980,ko01100,ko04913,ko04917,ko04927,ko04934,ko05204,map00140,map00380,map00830,map00943,map00980,map01100,map04913,map04917,map04927,map04934,map05204
CcGene_01359	Cytochrome P450	Belongs to the cytochrome P450 family	sp|A0A4D6Q415|CYP1_CROXC	AQY76220.1	GO:0005575,GO:0008150,GO:0008152,GO:0009058,GO:0009719,GO:0009725,GO:0009733,GO:0010033,GO:0016020,GO:0019748,GO:0042221,GO:0044550,GO:0050896	ko00140,ko01100,ko04913,ko04917,ko04927,ko04934,map00140,map01100,map04913,map04917,map04927,map04934
CcGene_01401	Glycosyltransferase	Belongs to the glycosyltransferase 8 family	sp|Q9ZVI7|GAUT7_ARATH	XP_017247879.1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005794,GO:0005802,GO:0008194,GO:0012505,GO:0016740,GO:0016757,GO:0016758,GO:0031410,GO:0031982,GO:0031984,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0047262,GO:0097708,GO:0098791	ko00520,map00520
CcGene_01501	Glycosyltransferase	UDP-glycosyltransferase 76F1-like	sp|Q9C768|U76B1_ARATH	XP_074345969.1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0008194,GO:0016740,GO:0016757,GO:0016758,GO:0035251,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0046527,GO:0047254,GO:0080043,GO:0080044	ko00140,ko00380,ko00402,ko00830,ko00908,ko00980,ko01100,ko01110,ko04913,ko05204,map00140,map00380,map00402,map00830,map00908,map00980,map01100,map01110,map04913,map05204
CcGene_01502	Glycosyltransferase	UDP-glycosyltransferase 76F1-like	sp|Q9C768|U76B1_ARATH	XP_017258719.2	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0008194,GO:0016740,GO:0016757,GO:0016758,GO:0035251,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0046527,GO:0047254,GO:0080043,GO:0080044	ko00140,ko00380,ko00402,ko00830,ko00908,ko00980,ko01100,ko01110,ko04913,ko05204,map00140,map00380,map00402,map00830,map00908,map00980,map01100,map01110,map04913,map05204
CcGene_01511	Glycosyltransferase	UDP-Glycosyltransferase	sp|Q9C768|U76B1_ARATH	XP_017234182.2	GO:0003674,GO:0003824,GO:0008194,GO:0016740,GO:0016757,GO:0016758,GO:0035251,GO:0046527,GO:0047254	ko00140,ko00380,ko00402,ko00830,ko00908,ko00980,ko01100,ko01110,ko04913,ko05204,map00140,map00380,map00402,map00830,map00908,map00980,map01100,map01110,map04913,map05204
CcGene_01512	Glycosyltransferase	UDP-Glycosyltransferase	sp|Q9C768|U76B1_ARATH	XP_017234182.2	GO:0003674,GO:0003824,GO:0008194,GO:0016740,GO:0016757,GO:0016758,GO:0035251,GO:0046527,GO:0047254	ko00140,ko00380,ko00402,ko00830,ko00908,ko00980,ko01100,ko01110,ko04913,ko05204,map00140,map00380,map00402,map00830,map00908,map00980,map01100,map01110,map04913,map05204
CcGene_01613	Cytochrome P450	Belongs to the cytochrome P450 family	sp|A0A3Q7HS74|C71E6_SOLLC	XP_063940101.1	-	-
CcGene_01614	Cytochrome P450	Cytochrome p450	sp|A0A3Q7HS74|C71E6_SOLLC	XP_017226306.1	-	-
CcGene_01731	Cytochrome P450	Belongs to the cytochrome P450 family	sp|O81970|C71A9_SOYBN	KAL8110637.1	GO:0000162,GO:0002376,GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005783,GO:0005886,GO:0006082,GO:0006520,GO:0006568,GO:0006576,GO:0006586,GO:0006725,GO:0006790,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0007275,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009308,GO:0009309,GO:0009314,GO:0009416,GO:0009605,GO:0009607,GO:0009617,GO:0009625,GO:0009628,GO:0009639,GO:0009641,GO:0009682,GO:0009683,GO:0009684,GO:0009759,GO:0009850,GO:0009851,GO:0009987,GO:0010114,GO:0010817,GO:0012505,GO:0016020,GO:0016043,GO:0016053,GO:0016143,GO:0016144,GO:0016491,GO:0016705,GO:0016709,GO:0018130,GO:0019438,GO:0019748,GO:0019752,GO:0019757,GO:0019758,GO:0019760,GO:0019761,GO:0022622,GO:0032501,GO:0032502,GO:0032787,GO:0033036,GO:0033037,GO:0033554,GO:0034641,GO:0034754,GO:0042343,GO:0042401,GO:0042430,GO:0042435,GO:0042445,GO:0042446,GO:0042545,GO:0042742,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044550,GO:0045087,GO:0045229,GO:0046219,GO:0046394,GO:0046483,GO:0048364,GO:0048731,GO:0048830,GO:0048856,GO:0050896,GO:0051179,GO:0051641,GO:0051704,GO:0051707,GO:0051716,GO:0052386,GO:0052482,GO:0052542,GO:0052543,GO:0052544,GO:0052545,GO:0055114,GO:0065007,GO:0065008,GO:0070727,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:0071944,GO:0072330,GO:0098542,GO:0099402,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1901657,GO:1901659	ko00140,ko00380,ko00966,ko01100,ko01110,ko01210,ko04913,ko04917,ko04927,ko04934,map00140,map00380,map00966,map01100,map01110,map01210,map04913,map04917,map04927,map04934
CcGene_02093	Cytochrome P450	cyp714a1	sp|Q2QYH7|C14C2_ORYSJ	WOG87503.1	-	-
CcGene_02120	Glycosyltransferase	Belongs to the glycosyltransferase 2 family. Plant cellulose synthase subfamily	sp|Q84ZN6|CESA8_ORYSJ	KAK6162984.1	GO:0000271,GO:0000278,GO:0000281,GO:0000910,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005794,GO:0005802,GO:0005886,GO:0005911,GO:0005975,GO:0005976,GO:0006073,GO:0006950,GO:0006952,GO:0007049,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009506,GO:0009832,GO:0009833,GO:0009834,GO:0009987,GO:0012505,GO:0016020,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0016759,GO:0022402,GO:0030054,GO:0030243,GO:0030244,GO:0031410,GO:0031982,GO:0031984,GO:0033692,GO:0034637,GO:0034645,GO:0042546,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044042,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0046527,GO:0050896,GO:0051273,GO:0051274,GO:0051301,GO:0055044,GO:0061640,GO:0071554,GO:0071669,GO:0071704,GO:0071840,GO:0071944,GO:0097708,GO:0098791,GO:1901576,GO:1903047	-
CcGene_02140	Cytochrome P450	Belongs to the cytochrome P450 family	sp|A0A0S2IHL2|C7A39_KALSE	XP_017242067.1	-	ko00908,ko01100,ko01110,map00908,map01100,map01110
CcGene_02255	Cytochrome P450	Cytochrome p450	sp|Q9LMX7|C78A5_ARATH	XP_017255259.1	GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0007275,GO:0008150,GO:0008152,GO:0008284,GO:0009058,GO:0009791,GO:0009908,GO:0012505,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0022414,GO:0032501,GO:0032502,GO:0035265,GO:0040007,GO:0040008,GO:0040009,GO:0042127,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0044550,GO:0045927,GO:0046620,GO:0046622,GO:0048367,GO:0048437,GO:0048518,GO:0048522,GO:0048589,GO:0048608,GO:0048638,GO:0048639,GO:0048731,GO:0048856,GO:0050789,GO:0050793,GO:0050794,GO:0051094,GO:0051239,GO:0051240,GO:0055114,GO:0061458,GO:0065007,GO:0090567,GO:0099402	-
CcGene_02302	Cytochrome P450	Cytochrome p450	sp|O81973|C93A3_SOYBN	XP_017217848.1	GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0008150,GO:0008152,GO:0009058,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0044550,GO:0055114	ko00140,ko00380,ko00830,ko00943,ko00980,ko01100,ko04913,ko04917,ko04927,ko04934,ko05204,map00140,map00380,map00830,map00943,map00980,map01100,map04913,map04917,map04927,map04934,map05204
CcGene_02443	Cytochrome P450	Cytochrome p450	sp|W8JMU7|CYQ32_CATRO	XP_059635443.1	-	ko00140,ko00232,ko00380,ko00591,ko00830,ko00905,ko00943,ko00980,ko00982,ko01100,ko01110,ko04913,ko04917,ko04927,ko04934,ko05204,map00140,map00232,map00380,map00591,map00830,map00905,map00943,map00980,map00982,map01100,map01110,map04913,map04917,map04927,map04934,map05204
CcGene_02538	Acyltransferase	O-acyltransferase (WSD1-like)	sp|Q9M3B3|WSD4_ARATH	KAL1815139.1	-	-
CcGene_02856	Terpene Synthase	Belongs to the terpene synthase family	sp|A0A0U3LQ20|CPS5_SALMI	WOH01687.1	GO:0006082,GO:0006629,GO:0006720,GO:0006721,GO:0008150,GO:0008152,GO:0009685,GO:0009987,GO:0010817,GO:0016101,GO:0019752,GO:0042445,GO:0043436,GO:0044237,GO:0044238,GO:0044255,GO:0044281,GO:0065007,GO:0065008,GO:0071704	ko00904,ko01100,ko01110,map00904,map01100,map01110
CcGene_03000	Cytochrome P450	Cytochrome p450	sp|O81973|C93A3_SOYBN	XP_017240613.1	GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0008150,GO:0008152,GO:0009058,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0044550,GO:0055114	ko00140,ko00380,ko00830,ko00943,ko00980,ko01100,ko04913,ko04917,ko04927,ko04934,ko05204,map00140,map00380,map00830,map00943,map00980,map01100,map04913,map04917,map04927,map04934,map05204
CcGene_03001	Cytochrome P450	Cytochrome p450	sp|O81973|C93A3_SOYBN	XP_017239296.2	GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0008150,GO:0008152,GO:0009058,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0044550,GO:0055114	ko00140,ko00380,ko00830,ko00943,ko00980,ko01100,ko04913,ko04917,ko04927,ko04934,ko05204,map00140,map00380,map00830,map00943,map00980,map01100,map04913,map04917,map04927,map04934,map05204
CcGene_03070	Cytochrome P450	Belongs to the cytochrome P450 family	sp|A0A0S2IHL2|C7A39_KALSE	KAL1815819.1	GO:0003674,GO:0003824,GO:0004497,GO:0008150,GO:0008152,GO:0016491,GO:0055114	ko00908,ko01100,ko01110,map00908,map01100,map01110
CcGene_03073	Cytochrome P450	Belongs to the cytochrome P450 family	sp|U5NDT8|SLS2_CATRO	WOH00772.1	GO:0003674,GO:0003824,GO:0004497,GO:0006082,GO:0006629,GO:0006720,GO:0006721,GO:0006722,GO:0008150,GO:0008152,GO:0008299,GO:0008300,GO:0008610,GO:0009056,GO:0009058,GO:0009987,GO:0016042,GO:0016053,GO:0016104,GO:0016105,GO:0016114,GO:0016115,GO:0016491,GO:0016705,GO:0016709,GO:0017144,GO:0019741,GO:0019742,GO:0019745,GO:0019752,GO:0032787,GO:0042180,GO:0042181,GO:0042182,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044281,GO:0044282,GO:0044283,GO:0046394,GO:0055114,GO:0071704,GO:0072330,GO:1901360,GO:1901361,GO:1901362,GO:1901575,GO:1901576,GO:1901615,GO:1901617,GO:1902381,GO:1902382,GO:1902384,GO:1902386	ko00908,ko01100,ko01110,ko04726,map00908,map01100,map01110,map04726
CcGene_03139	Cytochrome P450	cytochrome P450	sp|A0A068Q5V6|C7150_PRUMU	KAL1830989.1	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0008150,GO:0008152,GO:0009058,GO:0009719,GO:0009725,GO:0009733,GO:0010033,GO:0012505,GO:0016020,GO:0019748,GO:0031090,GO:0031984,GO:0042175,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044550,GO:0050896,GO:0098827	-
CcGene_03166	Glycosyltransferase	Glycosyltransferase family 17	sp|Q02527|MGAT3_RAT	XP_017220053.1	GO:0000139,GO:0003674,GO:0003824,GO:0003830,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0008194,GO:0008375,GO:0012505,GO:0016020,GO:0016021,GO:0016740,GO:0016757,GO:0016758,GO:0031090,GO:0031224,GO:0031984,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0098588,GO:0098791,GO:0140096,GO:0140103	ko00510,ko01100,map00510,map01100
CcGene_03170	Acyltransferase	BAHD family acyltransferase, clade V	sp|O80816|GLC_ARATH	KAL1803173.1	-	ko00073,map00073
CcGene_03212	Glycosyltransferase	Belongs to the glycosyltransferase 1 family	sp|O22060|SPSA1_CITUN	KAL1822716.1	-	ko00500,ko01100,map00500,map01100
CcGene_03220	Glycosyltransferase	Belongs to the glycosyltransferase 8 family	sp|C7G304|GOLS2_SOLLC	KAK1401870.1	GO:0000271,GO:0001101,GO:0003674,GO:0003824,GO:0005488,GO:0005536,GO:0005975,GO:0005976,GO:0005977,GO:0005978,GO:0005996,GO:0006012,GO:0006073,GO:0006091,GO:0006112,GO:0006950,GO:0006970,GO:0006979,GO:0007154,GO:0008150,GO:0008152,GO:0008194,GO:0008378,GO:0008466,GO:0009058,GO:0009059,GO:0009250,GO:0009266,GO:0009269,GO:0009409,GO:0009414,GO:0009415,GO:0009605,GO:0009628,GO:0009651,GO:0009719,GO:0009725,GO:0009737,GO:0009987,GO:0009991,GO:0010033,GO:0010035,GO:0015980,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0019318,GO:0030246,GO:0031668,GO:0033554,GO:0033692,GO:0033993,GO:0034637,GO:0034645,GO:0035250,GO:0035251,GO:0036094,GO:0042221,GO:0042631,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044281,GO:0046527,GO:0047216,GO:0048029,GO:0050896,GO:0051716,GO:0055114,GO:0070417,GO:0070887,GO:0071214,GO:0071229,GO:0071462,GO:0071465,GO:0071496,GO:0071704,GO:0097305,GO:0104004,GO:1901576,GO:1901700,GO:1901701	ko00052,map00052
CcGene_03412	Glycosyltransferase	Belongs to the glycosyltransferase 8 family	sp|Q9M9Y5|GAUT6_ARATH	XP_017235705.1	GO:0000139,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0012505,GO:0016020,GO:0031090,GO:0031984,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0098588,GO:0098791	ko00520,map00520
CcGene_03495	Cytochrome P450	Belongs to the cytochrome P450 family	sp|Q43033|TCMO_PETCR	XP_017252948.1	GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0006725,GO:0008150,GO:0008152,GO:0009058,GO:0009698,GO:0009808,GO:0009987,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0016710,GO:0019748,GO:0044237,GO:0044550,GO:0055114,GO:0071704,GO:1901360	ko00130,ko00360,ko00940,ko00941,ko00945,ko01100,ko01110,ko01220,map00130,map00360,map00940,map00941,map00945,map01100,map01110,map01220
CcGene_03698	Cytochrome P450	Belongs to the cytochrome P450 family	sp|O48786|C734A_ARATH	KAL1822598.1	GO:0003674,GO:0003824,GO:0004497,GO:0006629,GO:0008150,GO:0008152,GO:0008202,GO:0008395,GO:0009719,GO:0009725,GO:0009741,GO:0010033,GO:0010268,GO:0010817,GO:0014070,GO:0016128,GO:0016131,GO:0016491,GO:0033993,GO:0042221,GO:0042445,GO:0042592,GO:0044238,GO:0048878,GO:0050896,GO:0055088,GO:0055114,GO:0065007,GO:0065008,GO:0071704,GO:1901360,GO:1901615,GO:1901700	ko00905,map00905
CcGene_03828	Cytochrome P450	cytochrome P450	sp|Q9C788|C70B1_ARATH	KAK1379566.1	GO:0003674,GO:0003824,GO:0004497,GO:0006725,GO:0007275,GO:0008150,GO:0008152,GO:0009058,GO:0009555,GO:0009653,GO:0009987,GO:0010208,GO:0010584,GO:0010927,GO:0016043,GO:0016491,GO:0016705,GO:0016713,GO:0018685,GO:0019438,GO:0022607,GO:0030198,GO:0032501,GO:0032502,GO:0032989,GO:0043062,GO:0044085,GO:0044237,GO:0044249,GO:0045229,GO:0048229,GO:0048646,GO:0048856,GO:0048869,GO:0055114,GO:0071840,GO:0080110,GO:0085029	-
CcGene_03998	Glycosyltransferase	Glycosyltransferase	sp|Q9LFP3|GLYT4_ARATH	XP_017255478.1	-	ko00534,ko01100,map00534,map01100
CcGene_04213	Glycosyltransferase	Belongs to the UDP-glycosyltransferase family	sp|U3U992|UGT8_CATRO	WOH12441.1	-	-
CcGene_04541	Cytochrome P450	cytochrome P450	sp|Q9C788|C70B1_ARATH	KAK1379566.1	GO:0003674,GO:0003824,GO:0004497,GO:0006725,GO:0007275,GO:0008150,GO:0008152,GO:0009058,GO:0009555,GO:0009653,GO:0009987,GO:0010208,GO:0010584,GO:0010927,GO:0016043,GO:0016491,GO:0016705,GO:0016713,GO:0018685,GO:0019438,GO:0022607,GO:0030198,GO:0032501,GO:0032502,GO:0032989,GO:0043062,GO:0044085,GO:0044237,GO:0044249,GO:0045229,GO:0048229,GO:0048646,GO:0048856,GO:0048869,GO:0055114,GO:0071840,GO:0080110,GO:0085029	-
CcGene_04564	Glycosyltransferase	UDP-glycosyltransferase 76E2-like	sp|U3UA11|UGT7_CATRO	XP_074357024.1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0008194,GO:0016740,GO:0016757,GO:0016758,GO:0035251,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0046527,GO:0047254,GO:0080043,GO:0080044	ko00140,ko00380,ko00402,ko00830,ko00908,ko00980,ko01100,ko01110,ko04913,ko05204,map00140,map00380,map00402,map00830,map00908,map00980,map01100,map01110,map04913,map05204
CcGene_05297	Cytochrome P450	Cytochrome p450	sp|C0SJS4|C71AJ_APIGR	AKJ23351.1	-	ko00140,ko00380,ko00590,ko00591,ko00830,ko00980,ko01100,ko04212,ko04726,ko04750,ko04913,ko05204,map00140,map00380,map00590,map00591,map00830,map00980,map01100,map04212,map04726,map04750,map04913,map05204
