id	gene_id	contig	start	end	strand	metabolite_category	description	gos	kegg_pathway
11	CcGene_17244	CcContig_112021	698	2473	-	Secondary Metabolite	KAL1830503.1hypothetical protein ACET3Z_000154 [Daucus carota]	GO:0005886, GO:0006865, GO:0015171, GO:0055085	Amino acid transport across the plasma membrane
12	CcGene_08013	CcContig_050383	13952	20458	-	Secondary Metabolite	5421.1vesicle-associated protein 1-1-like [Daucus carota subsp. sativus]	GO:0005789, GO:0005886, GO:0090158	Neutrophil degranulation; Insertion of tail-anchored proteins into the endoplasmic reticulum membrane
13	CcGene_12689	CcContig_059145	34034	36413	+	Secondary Metabolite	KAK1369036.1Cationic amino acid transporter 1 [Heracleum sosnowskyi]	GO:0005313, GO:0005886, GO:0006865, GO:0015189, GO:0055085	Amino acid transport across the plasma membrane; Miscellaneous transport and binding events
14	CcGene_08014	CcContig_076664	3980	6630	+	Secondary Metabolite	KAK1385693.1BTB/POZ domain-containing protein NPY2 [Heracleum sosnowskyi]	GO:0005515	Peptidoglycan biosynthesis I
15	CcGene_14879	CcContig_003856	19938	27412	+	Secondary Metabolite	7383.1aconitate hydratase, cytoplasmic [Daucus carota subsp. sativus]	GO:0003994, GO:0005739, GO:0005829, GO:0006099, GO:0006101, GO:0030350, GO:0051539	Citric acid cycle (TCA cycle); The tricarboxylic acid cycle; TCA cycle (plant)
16	CcGene_28925	CcContig_093756	6870	9815	-	Secondary Metabolite	2651.1probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 10 [Daucus carota subsp. sativus]	GO:0004805, GO:0005829, GO:0005992	Trehalose biosynthesis; Trehalose biosynthesis I
17	CcGene_02062	CcContig_127817	3026	4520	+	Secondary Metabolite	WOH15526.1hypothetical protein DCAR_0935067 [Daucus carota subsp. sativus]	GO:0008757, GO:0032259	Methylation
18	CcGene_27237	CcContig_145495	45117	47925	-	Secondary Metabolite	KAL1827128.1hypothetical protein ACET3Z_005540 [Daucus carota]	GO:0016567, GO:0030155, GO:0061630	E3 ubiquitin ligases ubiquitinate target proteins
19	CcGene_22497	CcContig_026602	10262	12508	+	Secondary Metabolite	KAL1825426.1hypothetical protein ACET3Z_012204 [Daucus carota]	GO:0003872, GO:0005737, GO:0006096	Glycolysis; Cytosolic glycolysis; Plastid glycolysis
20	CcGene_09993	CcContig_123914	18461	34148	+	Secondary Metabolite	KAL1809030.1hypothetical protein ACET3Z_026020 [Daucus carota]	GO:0004326, GO:0005524, GO:0005739, GO:0005829, GO:0046901	Metabolism of folate and pterines; Folate polyglutamylation II; Folate polyglutamylation I; Tetrahydrofolate biosynthesis II
21	CcGene_23413	CcContig_045398	67452	72013	-	Secondary Metabolite	2910.1NADP-dependent malic enzyme [Daucus carota subsp. sativus]	GO:0004473, GO:0006090, GO:0006108, GO:0009507, GO:0051287	Pyruvate metabolism
22	CcGene_25001	CcContig_003864	21061	25176	-	Secondary Metabolite	KAK1383547.1Insulinase (Peptidase family M16) protein [Heracleum sosnowskyi]	GO:0005739, GO:0046872	Processing of SMDT1
23	CcGene_27283	CcContig_047395	17497	19132	-	Secondary Metabolite	5978.1benzoate carboxyl methyltransferase-like [Daucus carota subsp. sativus]	GO:0008757, GO:0032259	Methylation
24	CcGene_20142	CcContig_127955	42011	53495	-	Secondary Metabolite	KAL1832834.1hypothetical protein ACET3Z_002485 [Daucus carota]	GO:0000225, GO:0005783, GO:0006506	Synthesis of glycosylphosphatidylinositol (GPI)
25	CcGene_27983	CcContig_107044	23661	36668	+	Secondary Metabolite	7147.1peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase [Daucus carota subsp. sativus]	GO:0000224, GO:0005737	N-glycan trimming in the ER and Calnexin/Calreticulin cycle
26	CcGene_22233	CcContig_033172	4404	7302	+	Secondary Metabolite	KAL1810069.1hypothetical protein ACET3Z_027059 [Daucus carota]	GO:0005524, GO:0016887, GO:0042776, GO:0046933, GO:1902600	Formation of ATP by chemiosmotic coupling
27	CcGene_27003	CcContig_053063	93961	99485	-	Secondary Metabolite	7438.1110 kDa U5 small nuclear ribonucleoprotein component CLO [Daucus carota subsp. sativus]	GO:0000398, GO:0003924, GO:0005525, GO:0005829, GO:0030623, GO:0046540, GO:0071007	mRNA Splicing - Minor Pathway; mRNA Splicing - Major Pathway
28	CcGene_21006	CcContig_117227	18001	20922	+	Secondary Metabolite	0052.2bidirectional sugar transporter SWEET17 [Daucus carota subsp. sativus]	GO:0008643, GO:0016020, GO:0051119	Cellular hexose transport
29	CcGene_08995	CcContig_115028	22530	26457	-	Secondary Metabolite	8531.1pentatricopeptide repeat-containing protein At5g15280, mitochondrial isoform X2 [Apium graveolens]	GO:0005515	Intracellular auxin transport
30	CcGene_16891	CcContig_125253	28464	36296	-	Secondary Metabolite	KAK1393336.1Acyl-coenzyme A oxidase [Heracleum sosnowskyi]	GO:0003997, GO:0005504, GO:0005777, GO:0033540, GO:0055088, GO:0071949	Beta-oxidation of very long chain fatty acids
31	CcGene_02021	CcContig_114161	24558	25677	+	Secondary Metabolite	7672.1carboxylesterase 15 [Daucus carota subsp. sativus]	GO:0016787	LDL clearance; Phase I - Functionalization of compounds; Gibberellin signaling
32	CcGene_07003	CcContig_076689	33829	35611	-	Secondary Metabolite	KAK1374000.1RING-H2 finger protein like [Heracleum sosnowskyi]	GO:0030247	Antigen processing: Ubiquitination & Proteasome degradation; Galactose degradation II
33	CcGene_04872	CcContig_143506	45460	49643	-	Secondary Metabolite	3932.1uncharacterized protein LOC108215851 [Daucus carota subsp. sativus]	GO:0003887, GO:0006271, GO:0006297, GO:0043625, GO:1904161	Gap-filling DNA repair synthesis and ligation in GG-NER
34	CcGene_00694	CcContig_049558	4712	9855	-	Secondary Metabolite	KAL1834860.1hypothetical protein ACET3Z_004511 [Daucus carota]	GO:0000724, GO:0004842, GO:0005886, GO:0031436, GO:0045717, GO:0045944, GO:0070531	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
35	CcGene_06654	CcContig_035372	19581	25290	+	Secondary Metabolite	8144.1histidine biosynthesis bifunctional protein hisIE, chloroplastic [Daucus carota subsp. sativus]	GO:0000105, GO:0004635, GO:0004636	Histidine biosynthesis I
36	CcGene_07684	CcContig_138924	104701	108671	+	Alkaloid Biosynthesis	KAL1807520.1hypothetical protein ACET3Z_024510 [Daucus carota]	GO:0000162, GO:0004640	Tryptophan biosynthesis
37	CcGene_08016	CcContig_097555	14545	17177	+	Secondary Metabolite	polyadenylate-binding protein	GO:0003777, GO:0005524, GO:0007018, GO:0008017, GO:0015630, GO:0000228, GO:0000785, GO:0000790, GO:0003674, GO:0003676, GO:0003723, GO:0003727, GO:0005488, GO:0005575, GO:0005622, GO:0005623, GO:0005634, GO:0005654, GO:0005694, GO:0005730, GO:0005737, GO:0005844, GO:0006139, GO:0006401, GO:0006402, GO:0006725, GO:0006807, GO:0008143, GO:0008150, GO:0008152, GO:0009056, GO:0009057, GO:0009892, GO:0009987, GO:0010468, GO:0010605, GO:0010629, GO:0016070, GO:0016071, GO:0016604, GO:0019222, GO:0019439, GO:0031974, GO:0031981, GO:0032991, GO:0034641, GO:0034655, GO:0043170, GO:0043226, GO:0043227, GO:0043228, GO:0043229, GO:0043231, GO:0043232, GO:0043233, GO:0044237, GO:0044238, GO:0044248, GO:0044260, GO:0044265, GO:0044270, GO:0044422, GO:0044424, GO:0044427, GO:0044428, GO:0044446, GO:0044451, GO:0044454, GO:0044464, GO:0046483, GO:0046700, GO:0048519, GO:0050789, GO:0060255, GO:0065007, GO:0070013, GO:0070717, GO:0071704, GO:0090304, GO:0097159, GO:1901360, GO:1901361, GO:1901363, GO:1901575, GO:1990251, GO:1990904	Association of TriC/CCT with target proteins during biosynthesis
38	CcGene_23061	CcContig_076476	10089	15330	+	Secondary Metabolite	KAL1809231.1hypothetical protein ACET3Z_026221 [Daucus carota]	GO:0006865, GO:0015171, GO:0016020, GO:0055085	Amino acid transport across the plasma membrane
39	CcGene_04650	CcContig_124555	20272	23921	+	Secondary Metabolite	KAL1823952.1hypothetical protein ACET3Z_010730 [Daucus carota]	GO:0005802, GO:0005886, GO:0009833, GO:0016760, GO:0030244	Cellulose biosynthesis
40	CcGene_03005	CcContig_004636	4454	8404	+	Secondary Metabolite	0708.1THO complex subunit 4A-like [Apium graveolens]	GO:0003729, GO:0005634, GO:0006406	mRNA 3'-end processing; RNA Polymerase II Transcription Termination; Transport of Mature mRNA Derived from an Intronless Transcript; Transport of the SLBP Dependant Mature mRNA; Transport of Mature mRNA derived from an Intron-Containing Transcript; Transport of the SLBP independent Mature mRNA
41	CcGene_13209	CcContig_096740	50767	52618	+	Secondary Metabolite	0351.1fructose-1,6-bisphosphatase 1, chloroplastic [Apium graveolens]	GO:0005829, GO:0005986, GO:0006000, GO:0006002, GO:0006094, GO:0030388, GO:0042132	Gluconeogenesis; Sucrose biosynthesis
42	CcGene_04368	CcContig_047554	14761	15457	-	Secondary Metabolite	resistance protein	GO:0009416, GO:0009686, GO:0016707	Gibberellin biosynthesis I (non C-3, non C-13 hydroxylation); Gibberellin biosynthesis II (early C-3 hydroxylation)
43	CcGene_15287	CcContig_001636	19516	34870	-	Secondary Metabolite	KAL1831271.1hypothetical protein ACET3Z_000922 [Daucus carota]	GO:0000166, GO:0003677, GO:0003887, GO:0006287, GO:0006297, GO:0008296, GO:0043625, GO:0045004	Resolution of AP sites via the single-nucleotide replacement pathway; Resolution of AP sites via the multiple-nucleotide patch replacement pathway; Gap-filling DNA repair synthesis and ligation in GG-NER; APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway
44	CcGene_14404	CcContig_143782	78878	82228	+	Secondary Metabolite	0330.1imidazoleglycerol-phosphate dehydratase, chloroplastic isoform X2 [Daucus carota subsp. sativus]	GO:0000105, GO:0004424	Histidine biosynthesis I
45	CcGene_00997	CcContig_124612	49287	54236	-	Secondary Metabolite	2182.1DEAD-box ATP-dependent RNA helicase 20 [Daucus carota subsp. sativus]	GO:0003723, GO:0003724, GO:0005524, GO:0005634, GO:0005737, GO:1990904	SUMOylation of transcription cofactors; Estrogen-dependent gene expression
46	CcGene_17245	CcContig_120704	103325	109294	-	Secondary Metabolite	KAK1391907.1DNA cross-link repair protein SNM1 [Heracleum sosnowskyi]	GO:0003684, GO:0006303, GO:0035312, GO:0036297	Fanconi Anemia Pathway
47	CcGene_04824	CcContig_144366	17784	20551	+	Secondary Metabolite	1571.1uncharacterized protein LOC108205947 [Daucus carota subsp. sativus]	GO:0003921, GO:0005524, GO:0005829, GO:0006177	De novo synthesis of GMP
48	CcGene_08563	CcContig_047051	65241	67997	+	Secondary Metabolite	7739.1uncharacterized protein LOC141674939 [Apium graveolens]	GO:0005737, GO:0016567, GO:0061630	E3 ubiquitin ligases ubiquitinate target proteins
49	CcGene_07997	CcContig_062358	19384	23455	-	Secondary Metabolite	WOG97328.1hypothetical protein DCAR_0416668 [Daucus carota subsp. sativus]	GO:0004691, GO:0005524, GO:0005952, GO:0007165, GO:0018105	VEGFR2 mediated vascular permeability; VEGFR2 mediated cell proliferation; Integrin signaling; G beta:gamma signalling through PI3Kgamma; Activation of AKT2; GPVI-mediated activation cascade; IRS-related events triggered by IGF1R; Downstream TCR signaling; CD28 dependent PI3K/Akt signaling; High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells; Role of LAT2/NTAL/LAB on calcium mobilization; RHO GTPases activate PKNs; Regulation of TP53 Degradation; PIP3 activates AKT signaling
50	CcGene_13016	CcContig_002039	21473	22279	+	Secondary Metabolite	KAL1830127.1hypothetical protein ACET3Z_008539 [Daucus carota]	GO:0009055	Pantothenate and coenzyme A biosynthesis III
51	CcGene_13559	CcContig_110179	4596	6037	-	Secondary Metabolite	4551.1ribulose bisphosphate carboxylase small subunit 1B, chloroplastic-like isoform X1 [Daucus carota subsp. sativus]	GO:0009506, GO:0009507, GO:0009853, GO:0016984, GO:0019253	Calvin cycle; Photorespiration
52	CcGene_03887	CcContig_142411	6744	8975	-	Secondary Metabolite	9605.1E3 ubiquitin-protein ligase AIRP2-like [Daucus carota subsp. sativus]	GO:0016567, GO:0061630	E3 ubiquitin ligases ubiquitinate target proteins
53	CcGene_13709	CcContig_059262	16448	21816	-	Secondary Metabolite	5243.1succinate--CoA ligase [ADP-forming] subunit alpha-2, mitochondrial [Daucus carota subsp. sativus]	GO:0004775, GO:0004776, GO:0005739, GO:0006099, GO:0009361	Citric acid cycle (TCA cycle); The tricarboxylic acid cycle; TCA cycle (plant)
54	CcGene_00753	CcContig_046339	6969	11089	-	Secondary Metabolite	9853.1phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic [Apium graveolens]	GO:0004639, GO:0006189, GO:0009570	De novo synthesis of IMP
55	CcGene_03302	CcContig_046925	72188	73270	+	Secondary Metabolite	KAK1378254.1L-lactate dehydrogenase [Heracleum sosnowskyi]	GO:0004459, GO:0006089, GO:0006090	Pyruvate metabolism
56	CcGene_09997	CcContig_135825	30590	40799	-	Secondary Metabolite	lysine-specific demethylase	GO:0005543, GO:0005768, GO:0005886, GO:0006897, GO:0030125, GO:0030276, GO:0000902, GO:0003674, GO:0003700, GO:0003824, GO:0005575, GO:0005622, GO:0005623, GO:0005634, GO:0006325, GO:0006355, GO:0006464, GO:0006482, GO:0006807, GO:0006996, GO:0008150, GO:0008152, GO:0008214, GO:0009653, GO:0009719, GO:0009725, GO:0009741, GO:0009826, GO:0009889, GO:0009892, GO:0009987, GO:0010033, GO:0010468, GO:0010556, GO:0010605, GO:0010629, GO:0014070, GO:0016043, GO:0016049, GO:0016569, GO:0016570, GO:0016577, GO:0019219, GO:0019222, GO:0019538, GO:0031323, GO:0031326, GO:0032451, GO:0032452, GO:0032502, GO:0032989, GO:0033169, GO:0033993, GO:0036211, GO:0040007, GO:0040029, GO:0042221, GO:0043170, GO:0043226, GO:0043227, GO:0043229, GO:0043231, GO:0043412, GO:0044237, GO:0044238, GO:0044260, GO:0044267, GO:0044424, GO:0044464, GO:0045814, GO:0048519, GO:0048577, GO:0048579, GO:0048580, GO:0048581, GO:0048583, GO:0048585, GO:0048586, GO:0048587, GO:0048589, GO:0048856, GO:0048869, GO:0050789, GO:0050793, GO:0050794, GO:0050896, GO:0051093, GO:0051171, GO:0051239, GO:0051241, GO:0051252, GO:0051276, GO:0060255, GO:0060560, GO:0065007, GO:0070076, GO:0070988, GO:0071704, GO:0071840, GO:0080090, GO:0140096, GO:0140110, GO:1901564, GO:1901700, GO:1903506, GO:2000026, GO:2000028, GO:2000112, GO:2000241, GO:2000242, GO:2001141	Cargo recognition for clathrin-mediated endocytosis; EGFR downregulation
57	CcGene_01017	CcContig_104303	13127	16391	+	Secondary Metabolite	1763.1ADP-ribosylation factor [Glycine max]	GO:0003924, GO:0005525, GO:0005737, GO:0006886, GO:0016192	Intra-Golgi traffic; COPI-dependent Golgi-to-ER retrograde traffic; trans-Golgi Network Vesicle Budding; VxPx cargo-targeting to cilium; COPI-mediated anterograde transport; Synthesis of PIPs at the Golgi membrane; Homoserine biosynthesis
58	CcGene_23007	CcContig_106563	19843	22657	-	Secondary Metabolite	0211.1polyadenylate-binding protein RBP47 isoform X1 [Daucus carota subsp. sativus]	GO:0003729, GO:0005634	FGFR2 alternative splicing
59	CcGene_11893	CcContig_116008	12226	23758	+	Secondary Metabolite	KAK1373228.1Pantothenate kinase 2 [Heracleum sosnowskyi]	GO:0004594, GO:0005524, GO:0005634, GO:0005829, GO:0015937	Coenzyme A biosynthesis
60	CcGene_22169	CcContig_041431	3250	5536	-	Secondary Metabolite	1407.2uncharacterized protein LOC108198148 [Daucus carota subsp. sativus]	GO:0017183, GO:0090560	Synthesis of diphthamide-EEF2
61	CcGene_09450	CcContig_126355	26076	29479	+	Secondary Metabolite	8726.1ubiquitin-conjugating enzyme E2 7-like [Apium graveolens]	GO:0000209, GO:0006511, GO:0061631	Antigen processing: Ubiquitination & Proteasome degradation
62	CcGene_27689	CcContig_138629	38857	39825	-	Secondary Metabolite	KAK1376368.1Aquaporin TIP2-3 [Heracleum sosnowskyi]	GO:0006833, GO:0009705, GO:0015250, GO:0055085	Passive transport by Aquaporins
63	CcGene_08021	CcContig_003323	10174	23580	-	Secondary Metabolite	Protein of unknown function (DUF1666)	GO:0003676, GO:0004523	Dolichyl-diphosphooligosaccharide biosynthesis
64	CcGene_06187	CcContig_109491	28161	30907	-	Secondary Metabolite	6849.1pyruvate kinase, cytosolic isozyme [Daucus carota subsp. sativus]	GO:0000287, GO:0004743, GO:0005737, GO:0006096, GO:0030955	Glycolysis; Cytosolic glycolysis; Plastid glycolysis
65	CcGene_25657	CcContig_106413	22357	29828	+	Secondary Metabolite	6517.1DNA polymerase kappa isoform X2 [Daucus carota subsp. sativus]	GO:0003887, GO:0005634, GO:0006281, GO:0042276	Translesion synthesis by POLK; Translesion synthesis by REV1; Translesion synthesis by POLI
66	CcGene_17406	CcContig_146390	20090	22760	-	Secondary Metabolite	KAL8123925.1hypothetical protein AgCh_011799 [Apium graveolens]	GO:0003923, GO:0006508, GO:0016255, GO:0042765	Attachment of GPI anchor to uPAR
67	CcGene_28258	CcContig_109529	59489	61660	-	Secondary Metabolite	8174.2RING-H2 finger protein ATL7 [Daucus carota subsp. sativus]	GO:0016567, GO:0061630	E3 ubiquitin ligases ubiquitinate target proteins
68	CcGene_25004	CcContig_033673	43401	45232	+	Secondary Metabolite	KAL1808199.1hypothetical protein ACET3Z_025189 [Daucus carota]	GO:0000160, GO:0003677, GO:0009736	DARPP-32 events; Insulin receptor signalling cascade; PDE3B signalling; Cam-PDE 1 activation; cGMP effects; G alpha (s) signalling events; Ca-dependent events; Short day regulated expression of florigens; Long day regulated expression of florigens
69	CcGene_21803	CcContig_120003	34865	37938	+	Secondary Metabolite	9772.1elongation factor 2-like [Apium graveolens]	GO:0003746, GO:0003924, GO:0005525, GO:0005829, GO:0006414, GO:0043022, GO:1990904	Eukaryotic Translation Elongation; Translation elongation
70	CcGene_01192	CcContig_098763	102245	107746	-	Secondary Metabolite	KAL1820903.1hypothetical protein ACET3Z_015772 [Daucus carota]	GO:0004418, GO:0005737, GO:0006783	Heme biosynthesis; Heme synthesis
71	CcGene_15724	CcContig_109468	38029	41144	+	Secondary Metabolite	8246.1E3 ubiquitin-protein ligase RING1 [Daucus carota subsp. sativus]	GO:0005737, GO:0016567, GO:0061630	E3 ubiquitin ligases ubiquitinate target proteins
72	CcGene_29001	CcContig_128702	13539	17720	-	Secondary Metabolite	6573.1homeobox-leucine zipper protein GLABRA 2 [Daucus carota subsp. sativus]	GO:0000981, GO:0003677, GO:0006355, GO:0008289	Formation of the ureteric bud; Regulation of embryo development
73	CcGene_24482	CcContig_113927	61441	62647	-	Secondary Metabolite	RRT62096.1hypothetical protein B296_00015162 [Ensete ventricosum]	GO:0004306, GO:0005737, GO:0006646	Synthesis of PE
74	CcGene_03011	CcContig_119015	18310	21279	-	Secondary Metabolite	5212.1peptide methionine sulfoxide reductase A5 [Daucus carota subsp. sativus]	GO:0005737, GO:0008113, GO:0034599	Protein repair
75	CcGene_15989	CcContig_085841	11966	16274	-	Secondary Metabolite	9047.1protein IWS1 homolog 1 [Daucus carota subsp. sativus]	GO:0009742, GO:0032784	RNA Polymerase II Pre-transcription Events; Formation of RNA Pol II elongation complex
76	CcGene_04005	CcContig_111129	65331	76963	-	Secondary Metabolite	KAL1823285.1hypothetical protein ACET3Z_010063 [Daucus carota]	GO:0043130	ALKBH3 mediated reversal of alkylation damage
77	CcGene_17638	CcContig_003603	31287	35518	+	Secondary Metabolite	Aux IAA proteins are short-lived transcriptional factors that function as repressors of early auxin response genes at low auxin concentrations	GO:0004633, GO:0010181, GO:0015937, GO:0016788, GO:0071513, GO:0001067, GO:0003674, GO:0003676, GO:0003677, GO:0003700, GO:0005488, GO:0005515, GO:0005575, GO:0005622, GO:0005623, GO:0005634, GO:0006355, GO:0008150, GO:0009719, GO:0009725, GO:0009733, GO:0009889, GO:0010033, GO:0010468, GO:0010556, GO:0019219, GO:0019222, GO:0031323, GO:0031326, GO:0042221, GO:0042802, GO:0043226, GO:0043227, GO:0043229, GO:0043231, GO:0043565, GO:0044212, GO:0044424, GO:0044464, GO:0050789, GO:0050794, GO:0050896, GO:0051171, GO:0051252, GO:0060255, GO:0065007, GO:0080090, GO:0097159, GO:0140110, GO:1901363, GO:1903506, GO:2000112, GO:2001141	Coenzyme A biosynthesis
78	CcGene_08058	CcContig_101580	20288	34699	+	Secondary Metabolite	KAK1396619.1Argonaute [Heracleum sosnowskyi]	GO:0003723, GO:0004521, GO:0005515, GO:0005737, GO:0035194	Post-transcriptional silencing by small RNAs
79	CcGene_04726	CcContig_009900	8881	13574	+	Secondary Metabolite	KAL1812687.1hypothetical protein ACET3Z_022752 [Daucus carota]	GO:0000287, GO:0003862, GO:0009098, GO:0051287	Leucine biosynthesis
